;,2025 Energy Code: Long-term System Cost (LSC) NEM3 Hourly Factors,,,,,,,,,,,,,,,
;,Source:,,E3 via CEC  ~4/5/23:  PV_Export_Factors_20221209.xlsx,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Last modified:,,05/16/23 - SAC - converted into look-up table for CBECC(-Res) rulesets,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Electricity TDV (CZ1; 30-yr PV$/kWh),Electricity TDV (CZ2; 30-yr PV$/kWh),Electricity TDV (CZ3; 30-yr PV$/kWh),Electricity TDV (CZ4; 30-yr PV$/kWh),Electricity TDV (CZ5; 30-yr PV$/kWh),Electricity TDV (CZ6; 30-yr PV$/kWh),Electricity TDV (CZ7; 30-yr PV$/kWh),Electricity TDV (CZ8; 30-yr PV$/kWh),Electricity TDV (CZ9; 30-yr PV$/kWh),Electricity TDV (CZ10; 30-yr PV$/kWh),Electricity TDV (CZ11; 30-yr PV$/kWh),Electricity TDV (CZ12; 30-yr PV$/kWh),Electricity TDV (CZ13; 30-yr PV$/kWh),Electricity TDV (CZ14; 30-yr PV$/kWh),Electricity TDV (CZ15; 30-yr PV$/kWh),Electricity TDV (CZ16; 30-yr PV$/kWh)
; MoDaHr,,,,,,,,,,,,,,,,
; CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10301,12.48903904,12.48903904,12.48903904,12.48903904,12.48903904,12.43523123,12.43523123,12.43523123,12.43523123,12.43523123,12.48903904,12.48903904,12.48903904,12.43523123,12.43523123,12.43523123
10302,10.85893489,10.85893489,10.85893489,10.85893489,10.85893489,11.2564872,11.2564872,11.2564872,11.2564872,11.2564872,10.85893489,10.85893489,10.85893489,11.2564872,11.2564872,11.2564872
10303,7.991139315,7.991139315,7.991139315,7.991139315,7.991139315,8.318303979,8.318303979,8.318303979,8.318303979,8.318303979,7.991139315,7.991139315,7.991139315,8.318303979,8.318303979,8.318303979
10304,6.865041337,6.865041337,6.865041337,6.865041337,6.865041337,6.99717476,6.99717476,6.99717476,6.99717476,6.99717476,6.865041337,6.865041337,6.865041337,6.99717476,6.99717476,6.99717476
10305,6.599179981,6.599179981,6.599179981,6.599179981,6.599179981,6.605619799,6.605619799,6.605619799,6.605619799,6.605619799,6.599179981,6.599179981,6.599179981,6.605619799,6.605619799,6.605619799
10306,7.322402871,7.322402871,7.322402871,7.322402871,7.322402871,7.215959972,7.215959972,7.215959972,7.215959972,7.215959972,7.322402871,7.322402871,7.322402871,7.215959972,7.215959972,7.215959972
10307,10.13071377,10.13071377,10.13071377,10.13071377,10.13071377,9.941176631,9.941176631,9.941176631,9.941176631,9.941176631,10.13071377,10.13071377,10.13071377,9.941176631,9.941176631,9.941176631
10308,7.179074615,7.179074615,7.179074615,7.179074615,7.179074615,7.203917937,7.203917937,7.203917937,7.203917937,7.203917937,7.179074615,7.179074615,7.179074615,7.203917937,7.203917937,7.203917937
10309,2.750854338,2.750854338,2.750854338,2.750854338,2.750854338,2.789845945,2.789845945,2.789845945,2.789845945,2.789845945,2.750854338,2.750854338,2.750854338,2.789845945,2.789845945,2.789845945
10310,2.539281918,2.539281918,2.539281918,2.539281918,2.539281918,2.605375004,2.605375004,2.605375004,2.605375004,2.605375004,2.539281918,2.539281918,2.539281918,2.605375004,2.605375004,2.605375004
10311,2.54991163,2.54991163,2.54991163,2.54991163,2.54991163,2.617987332,2.617987332,2.617987332,2.617987332,2.617987332,2.54991163,2.54991163,2.54991163,2.617987332,2.617987332,2.617987332
10312,2.55261993,2.55261993,2.55261993,2.55261993,2.55261993,2.578922116,2.578922116,2.578922116,2.578922116,2.578922116,2.55261993,2.55261993,2.55261993,2.578922116,2.578922116,2.578922116
10313,2.565033774,2.565033774,2.565033774,2.565033774,2.565033774,2.597827315,2.597827315,2.597827315,2.597827315,2.597827315,2.565033774,2.565033774,2.565033774,2.597827315,2.597827315,2.597827315
10314,2.553996896,2.553996896,2.553996896,2.553996896,2.553996896,2.568068537,2.568068537,2.568068537,2.568068537,2.568068537,2.553996896,2.553996896,2.553996896,2.568068537,2.568068537,2.568068537
10315,2.55032342,2.55032342,2.55032342,2.55032342,2.55032342,2.564251102,2.564251102,2.564251102,2.564251102,2.564251102,2.55032342,2.55032342,2.55032342,2.564251102,2.564251102,2.564251102
10316,2.548482227,2.548482227,2.548482227,2.548482227,2.548482227,2.580850011,2.580850011,2.580850011,2.580850011,2.580850011,2.548482227,2.548482227,2.548482227,2.580850011,2.580850011,2.580850011
10317,3.762446288,3.762446288,3.762446288,3.762446288,3.762446288,3.890231655,3.890231655,3.890231655,3.890231655,3.890231655,3.762446288,3.762446288,3.762446288,3.890231655,3.890231655,3.890231655
10318,13.59257139,11.84787415,8.202734513,8.202734513,8.202734513,6.539505003,6.539505003,6.539505003,6.539505003,6.539505003,8.202734513,8.202734513,8.202734513,6.539505003,6.539505003,6.539505003
10319,12.22986207,21.13751586,17.79358343,6.991171013,6.871736503,7.380316319,7.380316319,7.380316319,7.380316319,7.380316319,6.871736503,7.035601332,6.871736503,7.380316319,7.380316319,7.380316319
10320,12.02800702,16.66072969,15.99148805,7.240801872,7.240801872,6.443381816,6.443381816,6.443381816,6.45646472,6.443381816,7.240801872,7.240801872,7.240801872,6.443381816,6.443381816,6.443381816
10321,10.84614914,10.51720578,13.66928631,8.60778062,8.60778062,8.579762887,8.579762887,8.579762887,8.579762887,8.579762887,8.60778062,8.60778062,8.60778062,8.579762887,8.579762887,8.579762887
10322,7.678035771,7.678035771,7.678035771,7.678035771,7.678035771,8.165153712,8.165153712,8.165153712,8.165153712,8.165153712,7.678035771,7.678035771,7.678035771,8.165153712,8.165153712,8.165153712
10323,7.062874486,7.062874486,7.062874486,7.062874486,7.062874486,7.734543342,7.734543342,7.734543342,7.734543342,7.734543342,7.062874486,7.062874486,7.062874486,7.734543342,7.734543342,7.734543342
10324,8.449062707,8.449062707,8.449062707,8.449062707,8.449062707,8.383957866,8.383957866,8.383957866,8.383957866,8.383957866,8.449062707,8.449062707,8.449062707,8.383957866,8.383957866,8.383957866
