,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10203,3.709545798,3.709545798,3.709545798,3.709545798,3.709545798,3.741954303,3.731674119,3.741954303,3.741954303,3.741954303,3.709545798,3.709545798,3.709545798,3.741954303,3.741954303,3.741954303,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10204,4.109163784,4.109163784,4.109163784,4.109163784,4.109163784,4.145063558,4.133675921,4.145063558,4.145063558,4.145063558,4.109163784,4.109163784,4.109163784,4.145063558,4.145063558,4.145063558,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10205,4.365025557,4.365025557,4.365025557,4.365025557,4.365025557,4.403160671,4.39106397,4.403160671,4.403160671,4.403160671,4.365025557,4.365025557,4.365025557,4.403160671,4.403160671,4.403160671,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10206,4.532534801,4.532534801,4.532534801,4.532534801,4.532534801,4.572133362,4.559572446,4.572133362,4.572133362,4.572133362,4.532534801,4.532534801,4.532534801,4.572133362,4.572133362,4.572133362,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10207,4.552701275,4.552701275,4.552701275,4.552701275,4.552701275,4.59247602,4.579859218,4.59247602,4.59247602,4.59247602,4.552701275,4.552701275,4.552701275,4.59247602,4.59247602,4.59247602,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10208,4.549504518,4.549504518,4.549504518,4.549504518,4.549504518,4.589251335,4.576643391,4.589251335,4.589251335,4.589251335,4.549504518,4.549504518,4.549504518,4.589251335,4.589251335,4.589251335,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10209,4.594549394,4.594549394,4.594549394,4.594549394,4.594549394,4.540055929,4.53532039,4.540055929,4.540055929,4.540055929,4.594549394,4.594549394,4.594549394,4.540055929,4.540055929,4.540055929,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10210,3.806438753,3.806438753,3.806438753,3.806438753,3.806438753,3.761292642,3.757369397,3.761292642,3.761292642,3.761292642,3.806438753,3.806438753,3.806438753,3.761292642,3.761292642,3.761292642,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10211,2.994520305,2.994520305,2.994520305,2.994520305,2.994520305,2.959003919,2.955917508,2.959003919,2.959003919,2.959003919,2.994520305,2.994520305,2.994520305,2.959003919,2.959003919,2.959003919,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10212,2.918171984,2.918171984,2.918171984,2.918171984,2.918171984,2.883561124,2.880553404,2.883561124,2.883561124,2.883561124,2.918171984,2.918171984,2.918171984,2.883561124,2.883561124,2.883561124,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
