,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10202,3.925695374,3.925695374,3.925695374,3.925695374,3.925695374,3.959992273,3.949113078,3.959992273,3.959992273,3.959992273,3.925695374,3.925695374,3.925695374,3.959992273,3.959992273,3.959992273,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10203,4.10376068,4.10376068,4.10376068,4.10376068,4.10376068,4.139613249,4.128240586,4.139613249,4.139613249,4.139613249,4.10376068,4.10376068,4.10376068,4.139613249,4.139613249,4.139613249,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10204,4.557301032,4.557301032,4.557301032,4.557301032,4.557301032,4.597115964,4.584486414,4.597115964,4.597115964,4.597115964,4.557301032,4.557301032,4.557301032,4.597115964,4.597115964,4.597115964,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10205,5.028275644,5.028275644,5.028275644,5.028275644,5.028275644,5.072205252,5.058270501,5.072205252,5.072205252,5.072205252,5.028275644,5.028275644,5.028275644,5.072205252,5.072205252,5.072205252,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10206,5.163771973,5.163771973,5.163771973,5.163771973,5.163771973,5.208885347,5.194575097,5.208885347,5.208885347,5.208885347,5.163771973,5.163771973,5.163771973,5.208885347,5.208885347,5.208885347,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10207,5.171238866,5.171238866,5.171238866,5.171238866,5.171238866,5.216417475,5.202086533,5.216417475,5.216417475,5.216417475,5.171238866,5.171238866,5.171238866,5.216417475,5.216417475,5.216417475,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10208,5.168544589,5.168544589,5.168544589,5.168544589,5.168544589,5.213699659,5.199376183,5.213699659,5.213699659,5.213699659,5.168544589,5.168544589,5.168544589,5.213699659,5.213699659,5.213699659,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10209,5.239996636,5.239996636,5.239996636,5.239996636,5.239996636,5.17784787,5.172447077,5.17784787,5.17784787,5.17784787,5.239996636,5.239996636,5.239996636,5.17784787,5.17784787,5.17784787,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10210,4.341194093,4.341194093,4.341194093,4.341194093,4.341194093,4.289705538,4.285231129,4.289705538,4.289705538,4.289705538,4.341194093,4.341194093,4.341194093,4.289705538,4.289705538,4.289705538,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10211,3.571374346,3.571374346,3.571374346,3.571374346,3.571374346,3.529016206,3.525335239,3.529016206,3.529016206,3.529016206,3.571374346,3.571374346,3.571374346,3.529016206,3.529016206,3.529016206,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10212,3.414734258,3.414734258,3.414734258,3.414734258,3.414734258,3.374233941,3.370714421,3.374233941,3.374233941,3.374233941,3.414734258,3.414734258,3.414734258,3.374233941,3.374233941,3.374233941,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10213,3.327385927,3.327385927,3.327385927,3.327385927,3.327385927,3.287921602,3.284492111,3.287921602,3.287921602,3.287921602,3.327385927,3.327385927,3.327385927,3.287921602,3.287921602,3.287921602,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10214,3.404719179,3.404719179,3.404719179,3.404719179,3.404719179,3.364337646,3.360828448,3.364337646,3.364337646,3.364337646,3.404719179,3.404719179,3.404719179,3.364337646,3.364337646,3.364337646,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10215,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,3.347031396,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10216,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,3.414979825,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10217,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,5.337006827,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10218,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,5.427292018,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10219,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,5.427431531,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
