;,; Use with 2009 calendar year and updated (2022) CEC weather data,,,,,,,,,,,,,,,,
;,"; Version ID: Long Run Marginal Emissions Factors Deep_Decarb, Elec Non-Res (15 Year)",,,,,,,,,,,,,,,,
;,; MoDaHr,Electricity Long Run Emissions (CZ1; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ2; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ3; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ4; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ5; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ6; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ7; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ8; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ9; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ10; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ11; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ12; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ13; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ14; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ15; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ16; tonnes CO2-e/kWh)
TABLE C02ElecByCZ,,,,,,,,,,,,,,,,,
,MoDaHr,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10405,0.00025143,0.00025143,0.00025143,0.00025143,0.00025143,0.000253627,0.00025293,0.000253627,0.000253627,0.000253627,0.00025143,0.00025143,0.00025143,0.000253627,0.000253627,0.000253627
,10406,0.00026817,0.00026817,0.00026817,0.00026817,0.00026817,0.000270512,0.000269769,0.000270512,0.000270512,0.000270512,0.00026817,0.00026817,0.00026817,0.000270512,0.000270512,0.000270512
,10407,0.000280921,0.000280921,0.000280921,0.000280921,0.000280921,0.000283376,0.000282597,0.000283376,0.000283376,0.000283376,0.000280921,0.000280921,0.000280921,0.000283376,0.000283376,0.000283376
,10408,0.000281121,0.000281121,0.000281121,0.000281121,0.000281121,0.000283577,0.000282798,0.000283577,0.000283577,0.000283577,0.000281121,0.000281121,0.000281121,0.000283577,0.000283577,0.000283577
,10409,9.04E-05,9.04E-05,9.04E-05,9.04E-05,9.04E-05,9.12E-05,9.09E-05,9.12E-05,9.12E-05,9.12E-05,9.04E-05,9.04E-05,9.04E-05,9.12E-05,9.12E-05,9.12E-05
,10410,4.39E-06,4.39E-06,4.39E-06,4.39E-06,4.39E-06,4.43E-06,4.42E-06,4.43E-06,4.43E-06,4.43E-06,4.39E-06,4.39E-06,4.39E-06,4.43E-06,4.43E-06,4.43E-06
,10411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10415,3.60E-07,3.60E-07,3.60E-07,3.60E-07,3.60E-07,3.63E-07,3.62E-07,3.63E-07,3.63E-07,3.63E-07,3.60E-07,3.60E-07,3.60E-07,3.63E-07,3.63E-07,3.63E-07
,10416,8.00E-06,8.00E-06,8.00E-06,8.00E-06,8.00E-06,8.07E-06,8.05E-06,8.07E-06,8.07E-06,8.07E-06,8.00E-06,8.00E-06,8.00E-06,8.07E-06,8.07E-06,8.07E-06
,10417,0.000244871,0.000244871,0.000244871,0.000244871,0.000244871,0.00024701,0.000246331,0.00024701,0.00024701,0.00024701,0.000244871,0.000244871,0.000244871,0.00024701,0.00024701,0.00024701
,10418,0.000286706,0.000286706,0.000286706,0.000286706,0.000286706,0.000289211,0.000288417,0.000289211,0.000289211,0.000289211,0.000286706,0.000286706,0.000286706,0.000289211,0.000289211,0.000289211
,10419,0.000286727,0.000286727,0.000286727,0.000286727,0.000286727,0.000289232,0.000288437,0.000289232,0.000289232,0.000289232,0.000286727,0.000286727,0.000286727,0.000289232,0.000289232,0.000289232
,10420,0.000286671,0.000286671,0.000286671,0.000286671,0.000286671,0.000289176,0.000288381,0.000289176,0.000289176,0.000289176,0.000286671,0.000286671,0.000286671,0.000289176,0.000289176,0.000289176
,10421,0.000286676,0.000286676,0.000286676,0.000286676,0.000286676,0.000289181,0.000288386,0.000289181,0.000289181,0.000289181,0.000286676,0.000286676,0.000286676,0.000289181,0.000289181,0.000289181
,10422,0.000286668,0.000286668,0.000286668,0.000286668,0.000286668,0.000289173,0.000288378,0.000289173,0.000289173,0.000289173,0.000286668,0.000286668,0.000286668,0.000289173,0.000289173,0.000289173
,10423,0.000286783,0.000286783,0.000286783,0.000286783,0.000286783,0.000289288,0.000288493,0.000289288,0.000289288,0.000289288,0.000286783,0.000286783,0.000286783,0.000289288,0.000289288,0.000289288
,10424,0.000286813,0.000286813,0.000286813,0.000286813,0.000286813,0.000289319,0.000288524,0.000289319,0.000289319,0.000289319,0.000286813,0.000286813,0.000286813,0.000289319,0.000289319,0.000289319
,10501,0.000306482,0.000306482,0.000306482,0.000306482,0.000306482,0.00030916,0.000308311,0.00030916,0.00030916,0.00030916,0.000306482,0.000306482,0.000306482,0.00030916,0.00030916,0.00030916
,10502,0.000305141,0.000305141,0.000305141,0.000305141,0.000305141,0.000307807,0.000306961,0.000307807,0.000307807,0.000307807,0.000305141,0.000305141,0.000305141,0.000307807,0.000307807,0.000307807
,10503,0.000302502,0.000302502,0.000302502,0.000302502,0.000302502,0.000305145,0.000304307,0.000305145,0.000305145,0.000305145,0.000302502,0.000302502,0.000302502,0.000305145,0.000305145,0.000305145
,10504,0.000302272,0.000302272,0.000302272,0.000302272,0.000302272,0.000304913,0.000304076,0.000304913,0.000304913,0.000304913,0.000302272,0.000302272,0.000302272,0.000304913,0.000304913,0.000304913
,10505,0.000301854,0.000301854,0.000301854,0.000301854,0.000301854,0.000304491,0.000303654,0.000304491,0.000304491,0.000304491,0.000301854,0.000301854,0.000301854,0.000304491,0.000304491,0.000304491
,10506,0.000303074,0.000303074,0.000303074,0.000303074,0.000303074,0.000305722,0.000304882,0.000305722,0.000305722,0.000305722,0.000303074,0.000303074,0.000303074,0.000305722,0.000305722,0.000305722
,10507,0.000309403,0.000309403,0.000309403,0.000309403,0.000309403,0.000312106,0.000311248,0.000312106,0.000312106,0.000312106,0.000309403,0.000309403,0.000309403,0.000312106,0.000312106,0.000312106
,10508,0.000309398,0.000309398,0.000309398,0.000309398,0.000309398,0.000312101,0.000311243,0.000312101,0.000312101,0.000312101,0.000309398,0.000309398,0.000309398,0.000312101,0.000312101,0.000312101
