,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10202,10.48949376,10.49340876,10.49195627,10.48171459,10.4925074,10.58901969,9.892511303,10.56912271,10.56951592,10.56752605,10.48252185,10.48382794,10.47693063,10.56095823,10.55008905,10.60375397,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10203,9.966269138,9.970080286,9.968666327,9.958696328,9.969202832,10.18062872,9.50735641,10.16115523,10.16154008,10.15959256,9.959482174,9.960753613,9.954039268,10.15316453,10.1425267,10.19504938,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10204,8.699960975,8.703520778,8.70220007,8.692887593,8.702701193,8.880578007,8.281274226,8.862452657,8.86281086,8.860998166,8.693621612,8.6948092,8.688537666,8.855015149,8.845113765,8.894000333,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10205,8.358024218,8.361516151,8.360220623,8.351085694,8.360712191,8.488699892,7.911692663,8.470980916,8.471331088,8.469559035,8.351805718,8.352970664,8.346818701,8.463710158,8.454030765,8.501821288,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10206,8.703692355,8.707252898,8.705931915,8.6966175,8.706433142,8.867985963,8.269398627,8.84987367,8.850231615,8.848420228,8.697351672,8.698539507,8.692266668,8.842441521,8.83254727,8.88139862,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10207,10.58269775,10.58663125,10.5851719,10.57488183,10.58572563,10.68821957,9.986067041,10.66821972,10.66861496,10.6666148,10.5756929,10.57700516,10.57007526,10.66001303,10.64908765,10.70303002,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10208,8.633154172,8.636700715,8.635384926,8.626107138,8.635884182,8.622658158,8.038029152,8.604800268,8.605153185,8.60336724,8.626838423,8.628021587,8.621773414,8.597472509,8.587717232,8.635882422,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10209,8.244382638,8.247852014,8.246564855,8.237488933,8.247053248,7.515202818,6.993584312,7.498493348,7.49882357,7.497152476,8.238204307,8.239361728,8.233249503,7.491636829,7.482508902,7.527576645,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10210,8.26122875,8.26470147,8.26341307,8.254328401,8.263901933,7.4938592,6.973455074,7.477171863,7.477501648,7.475832768,8.255044464,8.256203,8.250084885,7.470324426,7.46120859,7.506216637,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10211,8.26156776,8.265040548,8.263752123,8.254667278,8.264240996,7.493066857,6.972707813,7.476380342,7.47671011,7.475041313,8.255383355,8.256541914,8.25042368,7.469533243,7.460417855,7.505423686,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
