Filename,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to Node 2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,dataAirflowNetworkBalanceManager.linkReport(i).FLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 2 to Node 1 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,dataAirflowNetworkBalanceManager.linkReport(i).FLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to Node 2 Volume Flow Rate""",,OutputProcessor::Unit::m3_s,dataAirflowNetworkBalanceManager.linkReport(i).VolFLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 2 to Node 1 Volume Flow Rate""",,OutputProcessor::Unit::m3_s,dataAirflowNetworkBalanceManager.linkReport(i).VolFLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to Node 2 Pressure Difference""",,OutputProcessor::Unit::Pa,AirflowNetworkLinkSimu(i).DP,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to Node 2 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,dataAirflowNetworkBalanceManager.linkReport(i).FLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 2 to Node 1 Mass Flow Rate""",,OutputProcessor::Unit::kg_s,dataAirflowNetworkBalanceManager.linkReport(i).FLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to Node 2 Volume Flow Rate""",,OutputProcessor::Unit::m3_s,dataAirflowNetworkBalanceManager.linkReport(i).VolFLOW,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 2 to Node 1 Volume Flow Rate""",,OutputProcessor::Unit::m3_s,dataAirflowNetworkBalanceManager.linkReport(i).VolFLOW2,"""System""","""Average"""
AirflowNetworkBalanceManager.cc,"AFN Linkage Node 1 to Node 2 Pressure Difference""",,OutputProcessor::Unit::Pa,AirflowNetworkLinkSimu(i).DP,"""System""","""Average"""
BaseboardElectric.cc,"Baseboard Total Heating Energy""",,OutputProcessor::Unit::J,thisBaseboard.Energy,"""System""","""Sum"""
BaseboardElectric.cc,"""Baseboard Total Heating Rate""",,OutputProcessor::Unit::W,thisBaseboard.Power,"""System""","""Average"""
BaseboardElectric.cc,"Baseboard Electricity Energy""",,OutputProcessor::Unit::J,thisBaseboard.ElecUseLoad,"""System""","""Sum"""
BaseboardElectric.cc,"""Baseboard Electricity Rate""",,OutputProcessor::Unit::W,thisBaseboard.ElecUseRate,"""System""","""Average"""
BaseboardRadiator.cc,"Baseboard Total Heating Energy""",,OutputProcessor::Unit::J,baseboard->Baseboard(BaseboardNum).Energy,"""System""","""Sum"""
BaseboardRadiator.cc,"Baseboard Hot Water Energy""",,OutputProcessor::Unit::J,baseboard->Baseboard(BaseboardNum).Energy,"""System""","""Sum"""
BaseboardRadiator.cc,"Baseboard Total Heating Rate""",,OutputProcessor::Unit::W,baseboard->Baseboard(BaseboardNum).Power,"""System""","""Average"""
BaseboardRadiator.cc,"Baseboard Hot Water Mass Flow Rate""",,OutputProcessor::Unit::kg_s,baseboard->Baseboard(BaseboardNum).WaterMassFlowRate,"""System""","""Average"""
BaseboardRadiator.cc,"Baseboard Air Mass Flow Rate""",,OutputProcessor::Unit::kg_s,baseboard->Baseboard(BaseboardNum).AirMassFlowRate,"""System""","""Average"""
BaseboardRadiator.cc,"Baseboard Air Inlet Temperature""",,OutputProcessor::Unit::C,baseboard->Baseboard(BaseboardNum).AirInletTemp,"""System""","""Average"""
BaseboardRadiator.cc,"Baseboard Air Outlet Temperature""",,OutputProcessor::Unit::C,baseboard->Baseboard(BaseboardNum).AirOutletTemp,"""System""","""Average"""
BaseboardRadiator.cc,"Baseboard Water Inlet Temperature""",,OutputProcessor::Unit::C,baseboard->Baseboard(BaseboardNum).WaterInletTemp,"""System""","""Average"""
BaseboardRadiator.cc,"Baseboard Water Outlet Temperature""",,OutputProcessor::Unit::C,baseboard->Baseboard(BaseboardNum).WaterOutletTemp,"""System""","""Average"""
Boilers.cc,"Boiler Heating Rate""",,OutputProcessor::Unit::W,this->BoilerLoad,"""System""","""Average"""
