,MoDaHr,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10402,0.000267709,0.000267709,0.000267709,0.000267709,0.000267709,0.000270048,0.000269306,0.000270048,0.000270048,0.000270048,0.000267709,0.000267709,0.000267709,0.000270048,0.000270048,0.000270048
,10403,0.000264113,0.000264113,0.000264113,0.000264113,0.000264113,0.00026642,0.000265688,0.00026642,0.00026642,0.00026642,0.000264113,0.000264113,0.000264113,0.00026642,0.00026642,0.00026642
,10404,0.000256241,0.000256241,0.000256241,0.000256241,0.000256241,0.00025848,0.00025777,0.00025848,0.00025848,0.00025848,0.000256241,0.000256241,0.000256241,0.00025848,0.00025848,0.00025848
,10405,0.000264534,0.000264534,0.000264534,0.000264534,0.000264534,0.000266845,0.000266112,0.000266845,0.000266845,0.000266845,0.000264534,0.000264534,0.000264534,0.000266845,0.000266845,0.000266845
,10406,0.000274618,0.000274618,0.000274618,0.000274618,0.000274618,0.000277018,0.000276257,0.000277018,0.000277018,0.000277018,0.000274618,0.000274618,0.000274618,0.000277018,0.000277018,0.000277018
,10407,0.000282591,0.000282591,0.000282591,0.000282591,0.000282591,0.000285059,0.000284276,0.000285059,0.000285059,0.000285059,0.000282591,0.000282591,0.000282591,0.000285059,0.000285059,0.000285059
,10408,0.00028276,0.00028276,0.00028276,0.00028276,0.00028276,0.000285231,0.000284447,0.000285231,0.000285231,0.000285231,0.00028276,0.00028276,0.00028276,0.000285231,0.000285231,0.000285231
,10409,0.000107616,0.000107616,0.000107616,0.000107616,0.000107616,0.000108557,0.000108258,0.000108557,0.000108557,0.000108557,0.000107616,0.000107616,0.000107616,0.000108557,0.000108557,0.000108557
,10410,2.55E-06,2.55E-06,2.55E-06,2.55E-06,2.55E-06,2.57E-06,2.56E-06,2.57E-06,2.57E-06,2.57E-06,2.55E-06,2.55E-06,2.55E-06,2.57E-06,2.57E-06,2.57E-06
,10411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10415,2.09E-07,2.09E-07,2.09E-07,2.09E-07,2.09E-07,2.11E-07,2.10E-07,2.11E-07,2.11E-07,2.11E-07,2.09E-07,2.09E-07,2.09E-07,2.11E-07,2.11E-07,2.11E-07
,10416,4.64E-06,4.64E-06,4.64E-06,4.64E-06,4.64E-06,4.68E-06,4.67E-06,4.68E-06,4.68E-06,4.68E-06,4.64E-06,4.64E-06,4.64E-06,4.68E-06,4.68E-06,4.68E-06
,10417,0.000248298,0.000248298,0.000248298,0.000248298,0.000248298,0.000250467,0.000249779,0.000250467,0.000250467,0.000250467,0.000248298,0.000248298,0.000248298,0.000250467,0.000250467,0.000250467
,10418,0.000285486,0.000285486,0.000285486,0.000285486,0.000285486,0.000287981,0.000287189,0.000287981,0.000287981,0.000287981,0.000285486,0.000285486,0.000285486,0.000287981,0.000287981,0.000287981
,10419,0.000285468,0.000285468,0.000285468,0.000285468,0.000285468,0.000287962,0.000287171,0.000287962,0.000287962,0.000287962,0.000285468,0.000285468,0.000285468,0.000287962,0.000287962,0.000287962
,10420,0.00028541,0.00028541,0.00028541,0.00028541,0.00028541,0.000287903,0.000287112,0.000287903,0.000287903,0.000287903,0.00028541,0.00028541,0.00028541,0.000287903,0.000287903,0.000287903
,10421,0.000285447,0.000285447,0.000285447,0.000285447,0.000285447,0.000287941,0.00028715,0.000287941,0.000287941,0.000287941,0.000285447,0.000285447,0.000285447,0.000287941,0.000287941,0.000287941
,10422,0.000285454,0.000285454,0.000285454,0.000285454,0.000285454,0.000287948,0.000287157,0.000287948,0.000287948,0.000287948,0.000285454,0.000285454,0.000285454,0.000287948,0.000287948,0.000287948
,10423,0.000285573,0.000285573,0.000285573,0.000285573,0.000285573,0.000288068,0.000287276,0.000288068,0.000288068,0.000288068,0.000285573,0.000285573,0.000285573,0.000288068,0.000288068,0.000288068
,10424,0.000285595,0.000285595,0.000285595,0.000285595,0.000285595,0.00028809,0.000287299,0.00028809,0.00028809,0.00028809,0.000285595,0.000285595,0.000285595,0.00028809,0.00028809,0.00028809
,10501,0.000323364,0.000323364,0.000323364,0.000323364,0.000323364,0.000326189,0.000325293,0.000326189,0.000326189,0.000326189,0.000323364,0.000323364,0.000323364,0.000326189,0.000326189,0.000326189
,10502,0.000322642,0.000322642,0.000322642,0.000322642,0.000322642,0.000325461,0.000324567,0.000325461,0.000325461,0.000325461,0.000322642,0.000322642,0.000322642,0.000325461,0.000325461,0.000325461
,10503,0.000321215,0.000321215,0.000321215,0.000321215,0.000321215,0.000324021,0.000323131,0.000324021,0.000324021,0.000324021,0.000321215,0.000321215,0.000321215,0.000324021,0.000324021,0.000324021
,10504,0.000321189,0.000321189,0.000321189,0.000321189,0.000321189,0.000323995,0.000323105,0.000323995,0.000323995,0.000323995,0.000321189,0.000321189,0.000321189,0.000323995,0.000323995,0.000323995
,10505,0.000321019,0.000321019,0.000321019,0.000321019,0.000321019,0.000323824,0.000322934,0.000323824,0.000323824,0.000323824,0.000321019,0.000321019,0.000321019,0.000323824,0.000323824,0.000323824
,10506,0.000321849,0.000321849,0.000321849,0.000321849,0.000321849,0.000324661,0.000323769,0.000324661,0.000324661,0.000324661,0.000321849,0.000321849,0.000321849,0.000324661,0.000324661,0.000324661
,10507,0.000325586,0.000325586,0.000325586,0.000325586,0.000325586,0.00032843,0.000327528,0.00032843,0.00032843,0.00032843,0.000325586,0.000325586,0.000325586,0.00032843,0.00032843,0.00032843
,10508,0.000325443,0.000325443,0.000325443,0.000325443,0.000325443,0.000328286,0.000327385,0.000328286,0.000328286,0.000328286,0.000325443,0.000325443,0.000325443,0.000328286,0.000328286,0.000328286
,10509,0.000192162,0.000192162,0.000192162,0.000192162,0.000192162,0.000189883,0.000189685,0.000189883,0.000189883,0.000189883,0.000192162,0.000192162,0.000192162,0.000189883,0.000189883,0.000189883
,10510,1.22E-05,1.22E-05,1.22E-05,1.22E-05,1.22E-05,1.20E-05,1.20E-05,1.20E-05,1.20E-05,1.20E-05,1.22E-05,1.22E-05,1.22E-05,1.20E-05,1.20E-05,1.20E-05
,10511,5.07E-06,5.07E-06,5.07E-06,5.07E-06,5.07E-06,5.01E-06,5.01E-06,5.01E-06,5.01E-06,5.01E-06,5.07E-06,5.07E-06,5.07E-06,5.01E-06,5.01E-06,5.01E-06
,10512,4.23E-06,4.23E-06,4.23E-06,4.23E-06,4.23E-06,4.18E-06,4.18E-06,4.18E-06,4.18E-06,4.18E-06,4.23E-06,4.23E-06,4.23E-06,4.18E-06,4.18E-06,4.18E-06
,10513,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.53E-06,2.50E-06,2.50E-06,2.50E-06,2.50E-06,2.50E-06,2.53E-06,2.53E-06,2.53E-06,2.50E-06,2.50E-06,2.50E-06
,10514,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.56E-06,2.53E-06,2.52E-06,2.53E-06,2.53E-06,2.53E-06,2.56E-06,2.56E-06,2.56E-06,2.53E-06,2.53E-06,2.53E-06
,10515,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06,4.04E-06
,10516,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05,1.51E-05
,10517,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523,0.000276523
,10518,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774,0.000380774
,10519,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789,0.000380789
,10520,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826,0.000380826
,10521,0.000383331,0.000383331,0.000383331,0.000383331,0.000383331,0.000378785,0.00037839,0.000378785,0.000378785,0.000378785,0.000383331,0.000383331,0.000383331,0.000378785,0.000378785,0.000378785
,10522,0.00038027,0.00038027,0.00038027,0.00038027,0.00038027,0.00037576,0.000375368,0.00037576,0.00037576,0.00037576,0.00038027,0.00038027,0.00038027,0.00037576,0.00037576,0.00037576
,10523,0.000362932,0.000362932,0.000362932,0.000362932,0.000362932,0.000366102,0.000365096,0.000366102,0.000366102,0.000366102,0.000362932,0.000362932,0.000362932,0.000366102,0.000366102,0.000366102
,10524,0.000359466,0.000359466,0.000359466,0.000359466,0.000359466,0.000362607,0.00036161,0.000362607,0.000362607,0.000362607,0.000359466,0.000359466,0.000359466,0.000362607,0.000362607,0.000362607
