,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10201,27.45937005,27.22550251,27.37331151,27.41795187,27.52808738,25.97655909,25.93229186,26.08864722,26.01275113,25.95961152,27.33924116,27.34763806,27.27626526,25.95006976,25.96377985,26.50645802,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10202,27.1494811,26.91637004,27.06370093,27.1081969,27.21797616,25.96005115,25.9158124,26.0721196,25.99623683,25.94310656,27.02974078,27.03811053,26.96696859,25.93356647,25.94727415,26.48985706,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10203,27.4742438,27.24033995,27.3881719,27.43281919,27.54297179,25.99054936,25.94625492,26.10265417,26.02674678,25.97359927,27.35409626,27.36249447,27.29111058,25.96405609,25.97776822,26.52052712,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10204,28.04289904,27.80760706,27.95631634,28.00122859,28.11203492,27.01866352,26.97245838,27.13199376,27.05525662,27.00152815,27.92203846,27.93048652,27.85867899,26.99188064,27.00574267,27.55443456,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10205,28.58493233,28.34831719,28.49786273,28.54302755,28.65445699,28.53660634,28.4875074,28.65174585,28.57378363,28.5191974,28.4633921,28.47188766,28.39967633,28.50939588,28.52347921,29.08093076,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10206,28.67919122,28.44234598,28.59203695,28.63724569,28.74878348,28.68684206,28.63746318,28.80216065,28.72407717,28.66940605,28.55753279,28.56603661,28.49375506,28.65958928,28.67369451,29.23201304,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10207,28.69676291,28.45987478,28.60959285,28.65480978,28.76636778,28.6974066,28.64800953,28.81273779,28.73464579,28.67996869,28.57508245,28.58358781,28.51129317,28.67015086,28.68425763,29.24263711,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10208,28.69775072,28.46086017,28.61057977,28.65579716,28.7673563,28.68690498,28.63752729,28.80222364,28.72414012,28.66946896,28.57606902,28.58457447,28.51227909,28.65965219,28.67375743,29.23207631,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10209,28.85993259,28.62264615,28.77261596,28.81790892,28.9296545,28.54846208,28.51023075,28.66361573,28.58564394,28.53105101,28.73804753,28.7465672,28.67415099,28.52124828,28.53533334,29.0928533,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10210,28.58650751,28.34988852,28.4994365,28.54460205,28.6560333,25.83299413,25.79780241,25.94491114,25.86913091,25.81607244,28.4649653,28.473461,28.4012485,25.80654524,25.8202344,26.36208409,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10211,26.94550621,26.71289307,26.85990927,26.90431019,27.01385496,25.0759409,25.04160048,25.18695556,25.11178632,25.05915564,26.82602166,26.83437352,26.76338354,25.04970525,25.06328405,25.60076498,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10212,26.91888322,26.68633507,26.83331019,26.87769871,26.98721288,24.5491459,24.51541326,24.65953267,24.58478859,24.53245558,26.79943205,26.80778158,26.73681143,24.52305865,24.53656064,25.07100157,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10213,26.65476164,26.42285824,26.56942587,26.61369131,26.72290185,24.51679721,24.48310267,24.62714542,24.55242745,24.50011272,26.53564165,26.54396804,26.47319465,24.49071907,24.50421635,25.0384706,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
