;,,,,,,,,,,,,,
TABLE HRR10STrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
PropSys2 Fan-5,BaseSys2 Fan-5,ConstantVolume,BaseZnSys2-5,Apartment Unit 302 Thermal Zn,632.003,-99996,0.5,BrakeHorsePower,1.273,0.254,0.5,InAirStream,0.855
PropSys2 Fan-6,BaseSys2 Fan-6,ConstantVolume,BaseZnSys2-6,Apartment Unit 303 Thermal Zn,633.762,-99996,0.5,BrakeHorsePower,1.273,0.254,0.5,InAirStream,0.855
PropSys2 Fan-7,BaseSys2 Fan-7,ConstantVolume,BaseZnSys2-7,Apartment Unit 304 Thermal Zn,714.877,-99996,0.5,BrakeHorsePower,1.273,0.287,0.5,InAirStream,0.855
PropSys2 Fan-8,BaseSys2 Fan-8,ConstantVolume,BaseZnSys2-8,Apartment Unit 305 Thermal Zn,630.658,-99996,0.5,BrakeHorsePower,1.273,0.253,0.5,InAirStream,0.855
PropSys2 Fan-9,BaseSys2 Fan-9,ConstantVolume,BaseZnSys2-9,Apartment Unit 306 Thermal Zn,341.58,-99996,0.5,BrakeHorsePower,1.273,0.137,0.25,InAirStream,0.855
PropSys2 Fan-10,BaseSys2 Fan-10,ConstantVolume,BaseZnSys2-10,Apartment Unit 307 Thermal Zn,341.238,-99996,0.5,BrakeHorsePower,1.273,0.137,0.25,InAirStream,0.855
PropSys2 Fan-11,BaseSys2 Fan-11,ConstantVolume,BaseZnSys2-11,Apartment Unit 308 Thermal Zn,533.577,-99996,0.5,BrakeHorsePower,1.273,0.214,0.25,InAirStream,0.855
PropSys2 Fan-12,BaseSys2 Fan-12,ConstantVolume,BaseZnSys2-12,Apartment Unit 801 Thermal Zn,761.77,-99996,0.5,BrakeHorsePower,1.273,0.306,0.5,InAirStream,0.855
PropSys2 Fan-13,BaseSys2 Fan-13,ConstantVolume,BaseZnSys2-13,Apartment Unit 802 Thermal Zn,627.725,-99996,0.5,BrakeHorsePower,1.273,0.252,0.5,InAirStream,0.855
PropSys2 Fan-14,BaseSys2 Fan-14,ConstantVolume,BaseZnSys2-14,Apartment Unit 803 Thermal Zn,629.455,-99996,0.5,BrakeHorsePower,1.273,0.253,0.5,InAirStream,0.855
PropSys2 Fan-15,BaseSys2 Fan-15,ConstantVolume,BaseZnSys2-15,Apartment Unit 804 Thermal Zn,709.64,-99996,0.5,BrakeHorsePower,1.273,0.285,0.5,InAirStream,0.855
PropSys2 Fan-16,BaseSys2 Fan-16,ConstantVolume,BaseZnSys2-16,Apartment Unit 805 Thermal Zn,627.925,-99996,0.5,BrakeHorsePower,1.273,0.252,0.5,InAirStream,0.855
PropSys2 Fan-17,BaseSys2 Fan-17,ConstantVolume,BaseZnSys2-17,Apartment Unit 806 Thermal Zn,342.23,-99996,0.5,BrakeHorsePower,1.273,0.137,0.25,InAirStream,0.855
PropSys2 Fan-18,BaseSys2 Fan-18,ConstantVolume,BaseZnSys2-18,Apartment Unit 807 Thermal Zn,341.885,-99996,0.5,BrakeHorsePower,1.273,0.137,0.25,InAirStream,0.855
PropSys2 Fan-19,BaseSys2 Fan-19,ConstantVolume,BaseZnSys2-19,Apartment Unit 808 Thermal Zn,530.905,-99996,0.5,BrakeHorsePower,1.273,0.213,0.25,InAirStream,0.855
PropSys2 Fan-20,BaseSys2 Fan-20,ConstantVolume,BaseZnSys2-20,Apartment Unit 1001 Thermal Zn,836.61,-99996,0.5,BrakeHorsePower,1.273,0.336,0.5,InAirStream,0.855
PropSys2 Fan-21,BaseSys2 Fan-21,ConstantVolume,BaseZnSys2-21,Apartment Unit 1002 Thermal Zn,687.97,-99996,0.5,BrakeHorsePower,1.273,0.276,0.5,InAirStream,0.855
PropSys2 Fan-22,BaseSys2 Fan-22,ConstantVolume,BaseZnSys2-22,Apartment Unit 1003 Thermal Zn,689.27,-99996,0.5,BrakeHorsePower,1.273,0.277,0.5,InAirStream,0.855
PropSys2 Fan-23,BaseSys2 Fan-23,ConstantVolume,BaseZnSys2-23,Apartment Unit 1004 Thermal Zn,782.28,-99996,0.5,BrakeHorsePower,1.273,0.314,0.5,InAirStream,0.855
PropSys2 Fan-24,BaseSys2 Fan-24,ConstantVolume,BaseZnSys2-24,Apartment Unit 1005 Thermal Zn,712,-99996,0.5,BrakeHorsePower,1.273,0.286,0.5,InAirStream,0.855
PropSys2 Fan-25,BaseSys2 Fan-25,ConstantVolume,BaseZnSys2-25,Apartment Unit 1006 Thermal Zn,416.33,-99996,0.5,BrakeHorsePower,1.273,0.167,0.25,InAirStream,0.855
PropSys2 Fan-26,BaseSys2 Fan-26,ConstantVolume,BaseZnSys2-26,Apartment Unit 1007 Thermal Zn,415.81,-99996,0.5,BrakeHorsePower,1.273,0.167,0.25,InAirStream,0.855
PropSys2 Fan-27,BaseSys2 Fan-27,ConstantVolume,BaseZnSys2-27,Apartment Unit 1008 Thermal Zn,582.61,-99996,0.5,BrakeHorsePower,1.273,0.234,0.25,InAirStream,0.855
ENDTABLE,,,,,,,,,,,,,
TABLE HRR10SOACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
PropSys6 OACtrl,BaseSys6 OACtrl,DifferentialDryBulb,BaseAirSys6,Integrated,,,,,,,,,
PropSys6 OACtrl-2,BaseSys6 OACtrl-2,DifferentialDryBulb,BaseAirSys6-2,Integrated,,,,,,,,,
PropSys6 OACtrl-3,BaseSys6 OACtrl-3,NoEconomizer,BaseAirSys6-3,UNDEFINED,,,,,,,,,
PropSys6 OACtrl-4,BaseSys6 OACtrl-4,NoEconomizer,BaseAirSys6-4,UNDEFINED,,,,,,,,,
PropSys6 OACtrl-5,BaseSys6 OACtrl-5,NoEconomizer,BaseAirSys6-5,UNDEFINED,,,,,,,,,
PropSys6 OACtrl-6,BaseSys6 OACtrl-6,NoEconomizer,BaseAirSys6-6,UNDEFINED,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
