;,,,,,,,,,,,,,
TABLE HotSmlCECStd19070012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
GuestRoom201_SZAC CoilHtg,BaseSys1 CoilHtg-6,Furnace,BaseZnSys1-6,GuestRoom201 Thermal Zone,6405.375,6405.375,0,0.8,0.81,,,,
GuestRoom202_205_SZAC CoilHtg,BaseSys1 CoilHtg-7,Furnace,BaseZnSys1-7,GuestRoom202_205 Thermal Zone,5043.284,5043.284,0,0.8,0.81,,,,
GuestRoom206_208_SZAC CoilHtg,BaseSys1 CoilHtg-8,Furnace,BaseZnSys1-8,GuestRoom206_208 Thermal Zone,5450.3,5450.3,0,0.8,0.81,,,,
GuestRoom209_212_SZAC CoilHtg,BaseSys1 CoilHtg-9,Furnace,BaseZnSys1-9,GuestRoom209_212 Thermal Zone,5014.05,5014.05,0,0.8,0.81,,,,
GuestRoom213_SZAC CoilHtg,BaseSys1 CoilHtg-10,Furnace,BaseZnSys1-10,GuestRoom213 Thermal Zone,5580.413,5580.413,0,0.8,0.81,,,,
GuestRoom214_SZAC CoilHtg,BaseSys1 CoilHtg-11,Furnace,BaseZnSys1-11,GuestRoom214 Thermal Zone,5578.837,5578.837,0,0.8,0.81,,,,
GuestRoom215_218_SZAC CoilHtg,BaseSys1 CoilHtg-12,Furnace,BaseZnSys1-12,GuestRoom215_218 Thermal Zone,4999.953,4999.953,0,0.8,0.81,,,,
GuestRoom219_SZAC CoilHtg,BaseSys1 CoilHtg-13,Furnace,BaseZnSys1-13,GuestRoom219 Thermal Zone,5482.525,5482.525,0,0.8,0.81,,,,
GuestRoom220_223_SZAC CoilHtg,BaseSys1 CoilHtg-14,Furnace,BaseZnSys1-14,GuestRoom220_223 Thermal Zone,4942.344,4942.344,0,0.8,0.81,,,,
GuestRoom224_SZAC CoilHtg,BaseSys1 CoilHtg-15,Furnace,BaseZnSys1-15,GuestRoom224 Thermal Zone,5460.963,5460.963,0,0.8,0.81,,,,
GuestRoom301_SZAC CoilHtg,BaseSys1 CoilHtg-16,Furnace,BaseZnSys1-16,GuestRoom301 Thermal Zone,6585.05,6585.05,0,0.8,0.81,,,,
GuestRoom302_305_SZAC CoilHtg,BaseSys1 CoilHtg-17,Furnace,BaseZnSys1-17,GuestRoom302_305 Thermal Zone,5174.653,5174.653,0,0.8,0.81,,,,
GuestRoom306_308_SZAC CoilHtg,BaseSys1 CoilHtg-18,Furnace,BaseZnSys1-18,GuestRoom306_308 Thermal Zone,5649.138,5649.138,0,0.8,0.81,,,,
GuestRoom309_312_SZAC CoilHtg,BaseSys1 CoilHtg-19,Furnace,BaseZnSys1-19,GuestRoom309_312 Thermal Zone,5152.059,5152.059,0,0.8,0.81,,,,
GuestRoom313_SZAC CoilHtg,BaseSys1 CoilHtg-20,Furnace,BaseZnSys1-20,GuestRoom313 Thermal Zone,5649.012,5649.012,0,0.8,0.81,,,,
GuestRoom314_SZAC CoilHtg,BaseSys1 CoilHtg-21,Furnace,BaseZnSys1-21,GuestRoom314 Thermal Zone,5647.45,5647.45,0,0.8,0.81,,,,
GuestRoom315_318_SZAC CoilHtg,BaseSys1 CoilHtg-22,Furnace,BaseZnSys1-22,GuestRoom315_318 Thermal Zone,5142.609,5142.609,0,0.8,0.81,,,,
GuestRoom319_SZAC CoilHtg,BaseSys1 CoilHtg-23,Furnace,BaseZnSys1-23,GuestRoom319 Thermal Zone,5594.65,5594.65,0,0.8,0.81,,,,
GuestRoom320_323_SZAC CoilHtg,BaseSys1 CoilHtg-24,Furnace,BaseZnSys1-24,GuestRoom320_323 Thermal Zone,5077.384,5077.384,0,0.8,0.81,,,,
GuestRoom324_SZAC CoilHtg,BaseSys1 CoilHtg-25,Furnace,BaseZnSys1-25,GuestRoom324 Thermal Zone,5572.112,5572.112,0,0.8,0.81,,,,
GuestRoom401_SZAC CoilHtg,BaseSys1 CoilHtg-26,Furnace,BaseZnSys1-26,GuestRoom401 Thermal Zone,7342.9,7342.9,0,0.8,0.81,,,,
GuestRoom402_405_SZAC CoilHtg,BaseSys1 CoilHtg-27,Furnace,BaseZnSys1-27,GuestRoom402_405 Thermal Zone,5589.525,5589.525,0,0.8,0.81,,,,
GuestRoom406_408_SZAC CoilHtg,BaseSys1 CoilHtg-28,Furnace,BaseZnSys1-28,GuestRoom406_408 Thermal Zone,6115.913,6115.913,0,0.8,0.81,,,,
GuestRoom409_412_SZAC CoilHtg,BaseSys1 CoilHtg-29,Furnace,BaseZnSys1-29,GuestRoom409_412 Thermal Zone,5561.237,5561.237,0,0.8,0.81,,,,
GuestRoom413_SZAC CoilHtg,BaseSys1 CoilHtg-30,Furnace,BaseZnSys1-30,GuestRoom413 Thermal Zone,6132.737,6132.737,0,0.8,0.81,,,,
GuestRoom414_SZAC CoilHtg,BaseSys1 CoilHtg-31,Furnace,BaseZnSys1-31,GuestRoom414 Thermal Zone,6124.05,6124.05,0,0.8,0.81,,,,
GuestRoom415_418_SZAC CoilHtg,BaseSys1 CoilHtg-32,Furnace,BaseZnSys1-32,GuestRoom415_418 Thermal Zone,5545.769,5545.769,0,0.8,0.81,,,,
GuestRoom419_SZAC CoilHtg,BaseSys1 CoilHtg-33,Furnace,BaseZnSys1-33,GuestRoom419 Thermal Zone,6111.663,6111.663,0,0.8,0.81,,,,
GuestRoom420_423_SZAC CoilHtg,BaseSys1 CoilHtg-34,Furnace,BaseZnSys1-34,GuestRoom420_423 Thermal Zone,5474.466,5474.466,0,0.8,0.81,,,,
GuestRoom424_SZAC CoilHtg,BaseSys1 CoilHtg-35,Furnace,BaseZnSys1-35,GuestRoom424 Thermal Zone,6081.638,6081.638,0,0.8,0.81,,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys5,CorridorFlr1 Thermal Zone,32278.95,32278.95,1.61333,-99996,-99996,,,,
BaseVAVReheatCoil-5,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys5,EmployeeLoungeFlr1 Thermal Zone,6283.837,6283.837,0.31407,-99996,-99996,,,,
BaseVAVReheatCoil-6,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys5,ExerciseCenterFlr1 Thermal Zone,6060.025,6060.025,0.30289,-99996,-99996,,,,
BaseVAVReheatCoil-7,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys5,FrontLoungeFlr1 Thermal Zone,45821.45,45821.45,2.2902,-99996,-99996,,,,
BaseVAVReheatCoil-8,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys5,FrontOfficeFlr1 Thermal Zone,19762.05,19762.05,0.98773,-99996,-99996,,,,
BaseVAVReheatCoil-9,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys5,LaundryRoomFlr1 Thermal Zone,15197.662,15197.662,0.75959,-99996,-99996,,,,
BaseVAVReheatCoil-10,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys5,MechanicalRoomFlr1 Thermal Zone,5876.65,5876.65,0.29372,-99996,-99996,,,,
BaseVAVReheatCoil-11,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys5,MeetingRoomFlr1 Thermal Zone,21730.287,21730.287,1.0861,-99996,-99996,,,,
BaseVAVReheatCoil-12,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys5,FrontStairsFlr1 Thermal Zone,5713.025,5713.025,0.28554,-99996,-99996,,,,
BaseVAVReheatCoil-16,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys5,FrontStorageFlr1 Thermal Zone,3300.487,3300.487,0.16496,-99996,-99996,,,,
BaseVAVReheatCoil-20,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys5,RearStairsFlr1 Thermal Zone,5979.8,5979.8,0.29888,-99996,-99996,,,,
BaseVAVReheatCoil-24,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys5,RearStorageFlr1 Thermal Zone,5980.55,5980.55,0.29891,-99996,-99996,,,,
BaseVAVReheatCoil-28,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys5,RestroomFlr1 Thermal Zone,5866.438,5866.438,0.29321,-99996,-99996,,,,
