;,,,,,,,,,,,,,,
TABLE HotSmlCECStd25070012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
GuestRoom413_SZAC CoilClg,BaseSys1 CoilClg-30,DirectExpansion,BaseZnSys1-30,GuestRoom413 Thermal Zone,6259.793,6530.909,-99996,15.053,12.188,-99996,,,,
GuestRoom414_SZAC CoilClg,BaseSys1 CoilClg-31,DirectExpansion,BaseZnSys1-31,GuestRoom414 Thermal Zone,5586.701,5828.664,-99996,15.053,12.188,-99996,,,,
GuestRoom415_418_SZAC CoilClg,BaseSys1 CoilClg-32,DirectExpansion,BaseZnSys1-32,GuestRoom415_418 Thermal Zone,5370.166,5602.751,-99996,15.053,12.188,-99996,,,,
GuestRoom419_SZAC CoilClg,BaseSys1 CoilClg-33,DirectExpansion,BaseZnSys1-33,GuestRoom419 Thermal Zone,5533.22,5772.867,-99996,15.053,12.188,-99996,,,,
GuestRoom420_423_SZAC CoilClg,BaseSys1 CoilClg-34,DirectExpansion,BaseZnSys1-34,GuestRoom420_423 Thermal Zone,5360.447,5592.611,-99996,15.053,12.188,-99996,,,,
GuestRoom424_SZAC CoilClg,BaseSys1 CoilClg-35,DirectExpansion,BaseZnSys1-35,GuestRoom424 Thermal Zone,5496.07,5734.108,-99996,15.053,12.188,-99996,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE HotSmlCECStd25070012CoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
BaseSys5 CoilHtg,BaseSys5 CoilHtg,HotWater,BaseAirSys5,UNDEFINED,102160.513,102160.513,8.16974,-99996,-99996,,,,,
BaseSys5 CoilHtg-2,BaseSys5 CoilHtg-2,HotWater,BaseAirSys5-2,UNDEFINED,12446.788,12446.788,0.99536,-99996,-99996,,,,,
BaseSys5 CoilHtg-3,BaseSys5 CoilHtg-3,HotWater,BaseAirSys5-3,UNDEFINED,12707.813,12707.813,1.01624,-99996,-99996,,,,,
BaseSys5 CoilHtg-4,BaseSys5 CoilHtg-4,HotWater,BaseAirSys5-4,UNDEFINED,17770.25,17770.25,1.42108,-99996,-99996,,,,,
GuestRoom101_SZAC CoilHtg,BaseSys1 CoilHtg,Furnace,BaseZnSys1,GuestRoom101 Thermal Zone,7059.763,7059.763,0,0.8,0.81,,,,,
GuestRoom102_SZAC CoilHtg,BaseSys1 CoilHtg-2,Furnace,BaseZnSys1-2,GuestRoom102 Thermal Zone,7079.125,7079.125,0,0.8,0.81,,,,,
GuestRoom103_SZAC CoilHtg,BaseSys1 CoilHtg-3,Furnace,BaseZnSys1-3,GuestRoom103 Thermal Zone,7118.288,7118.288,0,0.8,0.81,,,,,
GuestRoom104_SZAC CoilHtg,BaseSys1 CoilHtg-4,Furnace,BaseZnSys1-4,GuestRoom104 Thermal Zone,7115.738,7115.738,0,0.8,0.81,,,,,
GuestRoom105_SZAC CoilHtg,BaseSys1 CoilHtg-5,Furnace,BaseZnSys1-5,GuestRoom105 Thermal Zone,7075,7075,0,0.8,0.81,,,,,
GuestRoom201_SZAC CoilHtg,BaseSys1 CoilHtg-6,Furnace,BaseZnSys1-6,GuestRoom201 Thermal Zone,7714.538,7714.538,0,0.8,0.81,,,,,
GuestRoom202_205_SZAC CoilHtg,BaseSys1 CoilHtg-7,Furnace,BaseZnSys1-7,GuestRoom202_205 Thermal Zone,5495.125,5495.125,0,0.8,0.81,,,,,
GuestRoom206_208_SZAC CoilHtg,BaseSys1 CoilHtg-8,Furnace,BaseZnSys1-8,GuestRoom206_208 Thermal Zone,5935.592,5935.592,0,0.8,0.81,,,,,
GuestRoom209_212_SZAC CoilHtg,BaseSys1 CoilHtg-9,Furnace,BaseZnSys1-9,GuestRoom209_212 Thermal Zone,5455.6,5455.6,0,0.8,0.81,,,,,
GuestRoom213_SZAC CoilHtg,BaseSys1 CoilHtg-10,Furnace,BaseZnSys1-10,GuestRoom213 Thermal Zone,6021.237,6021.237,0,0.8,0.81,,,,,
GuestRoom214_SZAC CoilHtg,BaseSys1 CoilHtg-11,Furnace,BaseZnSys1-11,GuestRoom214 Thermal Zone,6019.225,6019.225,0,0.8,0.81,,,,,
GuestRoom215_218_SZAC CoilHtg,BaseSys1 CoilHtg-12,Furnace,BaseZnSys1-12,GuestRoom215_218 Thermal Zone,5444.7,5444.7,0,0.8,0.81,,,,,
GuestRoom219_SZAC CoilHtg,BaseSys1 CoilHtg-13,Furnace,BaseZnSys1-13,GuestRoom219 Thermal Zone,5945.95,5945.95,0,0.8,0.81,,,,,
GuestRoom220_223_SZAC CoilHtg,BaseSys1 CoilHtg-14,Furnace,BaseZnSys1-14,GuestRoom220_223 Thermal Zone,5390.75,5390.75,0,0.8,0.81,,,,,
GuestRoom224_SZAC CoilHtg,BaseSys1 CoilHtg-15,Furnace,BaseZnSys1-15,GuestRoom224 Thermal Zone,5924.763,5924.763,0,0.8,0.81,,,,,
GuestRoom301_SZAC CoilHtg,BaseSys1 CoilHtg-16,Furnace,BaseZnSys1-16,GuestRoom301 Thermal Zone,7986.175,7986.175,0,0.8,0.81,,,,,
GuestRoom302_305_SZAC CoilHtg,BaseSys1 CoilHtg-17,Furnace,BaseZnSys1-17,GuestRoom302_305 Thermal Zone,5632.031,5632.031,0,0.8,0.81,,,,,
GuestRoom306_308_SZAC CoilHtg,BaseSys1 CoilHtg-18,Furnace,BaseZnSys1-18,GuestRoom306_308 Thermal Zone,6144.196,6144.196,0,0.8,0.81,,,,,
GuestRoom309_312_SZAC CoilHtg,BaseSys1 CoilHtg-19,Furnace,BaseZnSys1-19,GuestRoom309_312 Thermal Zone,5604.887,5604.887,0,0.8,0.81,,,,,
GuestRoom313_SZAC CoilHtg,BaseSys1 CoilHtg-20,Furnace,BaseZnSys1-20,GuestRoom313 Thermal Zone,6107.487,6107.487,0,0.8,0.81,,,,,
GuestRoom314_SZAC CoilHtg,BaseSys1 CoilHtg-21,Furnace,BaseZnSys1-21,GuestRoom314 Thermal Zone,6106.575,6106.575,0,0.8,0.81,,,,,
GuestRoom315_318_SZAC CoilHtg,BaseSys1 CoilHtg-22,Furnace,BaseZnSys1-22,GuestRoom315_318 Thermal Zone,5594.491,5594.491,0,0.8,0.81,,,,,
