; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10203,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,83.96987228,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100
10204,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,83.96987228,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100
10205,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,83.96987228,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100
10206,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,83.96987228,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100
10207,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,83.96987228,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100
10208,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,83.96987228,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100
10209,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,83.96987228,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.80625858,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100,5.796912848,84.26799017,100
10210,5.216223825,84.80625858,100,5.216223825,84.80625858,100,5.216223825,84.80625858,100,5.216223825,84.80625858,100,5.216223825,84.80625858,100,5.216223825,84.26799017,100,5.216223825,83.96987228,100,5.216223825,84.26799017,100,5.216223825,84.26799017,100,5.216223825,84.26799017,100,5.216223825,84.80625858,100,5.216223825,84.80625858,100,5.216223825,84.80625858,100,5.216223825,84.26799017,100,5.216223825,84.26799017,100,5.216223825,84.26799017,100
10211,3.384095043,84.80625858,100,3.384095043,84.80625858,100,3.384095043,84.80625858,100,3.384095043,84.80625858,100,3.384095043,84.80625858,100,3.384095043,84.26799017,100,3.384095043,83.96987228,100,3.384095043,84.26799017,100,3.384095043,84.26799017,100,3.384095043,84.26799017,100,3.384095043,84.80625858,100,3.384095043,84.80625858,100,3.384095043,84.80625858,100,3.384095043,84.26799017,100,3.384095043,84.26799017,100,3.384095043,84.26799017,100
10212,3.273145941,84.80625858,100,3.273145941,84.80625858,100,3.273145941,84.80625858,100,3.273145941,84.80625858,100,3.273145941,84.80625858,100,3.273145941,84.26799017,100,3.273145941,83.96987228,100,3.273145941,84.26799017,100,3.273145941,84.26799017,100,3.273145941,84.26799017,100,3.273145941,84.80625858,100,3.273145941,84.80625858,100,3.273145941,84.80625858,100,3.273145941,84.26799017,100,3.273145941,84.26799017,100,3.273145941,84.26799017,100
10213,3.274533879,84.80625858,100,3.274533879,84.80625858,100,3.274533879,84.80625858,100,3.274533879,84.80625858,100,3.274533879,84.80625858,100,3.274533879,84.26799017,100,3.274533879,83.96987228,100,3.274533879,84.26799017,100,3.274533879,84.26799017,100,3.274533879,84.26799017,100,3.274533879,84.80625858,100,3.274533879,84.80625858,100,3.274533879,84.80625858,100,3.274533879,84.26799017,100,3.274533879,84.26799017,100,3.274533879,84.26799017,100
10214,3.323070818,84.80625858,100,3.323070818,84.80625858,100,3.323070818,84.80625858,100,3.323070818,84.80625858,100,3.323070818,84.80625858,100,3.323070818,84.26799017,100,3.323070818,83.96987228,100,3.323070818,84.26799017,100,3.323070818,84.26799017,100,3.323070818,84.26799017,100,3.323070818,84.80625858,100,3.323070818,84.80625858,100,3.323070818,84.80625858,100,3.323070818,84.26799017,100,3.323070818,84.26799017,100,3.323070818,84.26799017,100
10215,3.435610087,84.80625858,100,3.435610087,84.80625858,100,3.435610087,84.80625858,100,3.435610087,84.80625858,100,3.435610087,84.80625858,100,3.435610087,84.26799017,100,3.435610087,83.96987228,100,3.435610087,84.26799017,100,3.435610087,84.26799017,100,3.435610087,84.26799017,100,3.435610087,84.80625858,100,3.435610087,84.80625858,100,3.435610087,84.80625858,100,3.435610087,84.26799017,100,3.435610087,84.26799017,100,3.435610087,84.26799017,100
10216,3.924837971,84.80625858,100,3.924837971,84.80625858,100,3.924837971,84.80625858,100,3.924837971,84.80625858,100,3.924837971,84.80625858,100,3.924837971,84.26799017,100,3.924837971,83.96987228,100,3.924837971,84.26799017,100,3.924837971,84.26799017,100,3.924837971,84.26799017,100,3.924837971,84.80625858,100,3.924837971,84.80625858,100,3.924837971,84.80625858,100,3.924837971,84.26799017,100,3.924837971,84.26799017,100,3.924837971,84.26799017,100
10217,5.731680393,84.80625858,100,5.731680393,84.80625858,100,5.731680393,84.80625858,100,5.731680393,84.80625858,100,5.731680393,84.80625858,100,5.731680393,84.26799017,100,5.731680393,83.96987228,100,5.731680393,84.26799017,100,5.731680393,84.26799017,100,5.731680393,84.26799017,100,5.731680393,84.80625858,100,5.731680393,84.80625858,100,5.731680393,84.80625858,100,5.731680393,84.26799017,100,5.731680393,84.26799017,100,5.731680393,84.26799017,100
10218,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.26799017,100,6.344401148,83.96987228,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100
10219,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.26799017,100,6.344401148,83.96987228,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100
10220,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.26799017,100,6.344401148,83.96987228,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.80625858,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100,6.344401148,84.26799017,100
