;,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,G,G,G,H,H,H,I,I,I,J,J,J,K,K,K,L,L,L,M,M,M,N,N,N,O,O,O,P,P,P,Q,Q,Q
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10213,3.0696522,103.11,100,3.0696522,103.11,100,3.0696522,103.11,100,3.0696522,103.11,100,3.0696522,103.11,100,3.1891072,101.66,100,3.1891072,101.66,100,3.1891072,101.66,100,3.1891072,101.66,100,3.1891072,101.66,100,3.0696522,103.11,100,3.0696522,103.11,100,3.0696522,103.11,100,3.1891072,101.66,100,3.1891072,101.66,100,3.1891072,101.66,100
10214,2.9450777,103.11,100,2.9450777,103.11,100,2.9450777,103.11,100,2.9450777,103.11,100,2.9450777,103.11,100,3.1304036,101.66,100,3.1304036,101.66,100,3.1304036,101.66,100,3.1304036,101.66,100,3.1304036,101.66,100,2.9450777,103.11,100,2.9450777,103.11,100,2.9450777,103.11,100,3.1304036,101.66,100,3.1304036,101.66,100,3.1304036,101.66,100
10215,3.3119752,103.11,100,3.3119752,103.11,100,3.3119752,103.11,100,3.3119752,103.11,100,3.3119752,103.11,100,3.4495191,101.66,100,3.4495191,101.66,100,3.4495191,101.66,100,3.4495191,101.66,100,3.4495191,101.66,100,3.3119752,103.11,100,3.3119752,103.11,100,3.3119752,103.11,100,3.4495191,101.66,100,3.4495191,101.66,100,3.4495191,101.66,100
10216,4.4143742,103.11,100,4.4143742,103.11,100,4.4143742,103.11,100,4.4143742,103.11,100,4.4143742,103.11,100,4.5242728,101.66,100,4.5242728,101.66,100,4.5242728,101.66,100,4.5242728,101.66,100,4.5242728,101.66,100,4.4143742,103.11,100,4.4143742,103.11,100,4.4143742,103.11,100,4.5242728,101.66,100,4.5242728,101.66,100,4.5242728,101.66,100
10217,6.6993777,103.11,100,6.6993777,103.11,100,6.6993777,103.11,100,6.6993777,103.11,100,6.6993777,103.11,100,6.6358959,101.66,100,6.6358959,101.66,100,6.6358959,101.66,100,6.6358959,101.66,100,6.6358959,101.66,100,6.6993777,103.11,100,6.6993777,103.11,100,6.6993777,103.11,100,6.6358959,101.66,100,6.6358959,101.66,100,6.6358959,101.66,100
10218,6.7014255,103.11,100,6.7014255,103.11,100,6.7014255,103.11,100,6.7014255,103.11,100,6.7014255,103.11,100,6.6376024,101.66,100,6.6376024,101.66,100,6.6376024,101.66,100,6.6376024,101.66,100,6.6376024,101.66,100,6.7014255,103.11,100,6.7014255,103.11,100,6.7014255,103.11,100,6.6376024,101.66,100,6.6376024,101.66,100,6.6376024,101.66,100
10219,6.7007429,103.11,100,6.7007429,103.11,100,6.7007429,103.11,100,6.7007429,103.11,100,6.7007429,103.11,100,6.6444284,101.66,100,6.6444284,101.66,100,6.6444284,101.66,100,6.6444284,101.66,100,6.6444284,101.66,100,6.7007429,103.11,100,6.7007429,103.11,100,6.7007429,103.11,100,6.6444284,101.66,100,6.6444284,101.66,100,6.6444284,101.66,100
10220,6.7004016,103.11,100,6.7004016,103.11,100,6.7004016,103.11,100,6.7004016,103.11,100,6.7004016,103.11,100,6.6468175,101.66,100,6.6468175,101.66,100,6.6468175,101.66,100,6.6468175,101.66,100,6.6468175,101.66,100,6.7004016,103.11,100,6.7004016,103.11,100,6.7004016,103.11,100,6.6468175,101.66,100,6.6468175,101.66,100,6.6468175,101.66,100
10221,6.7000603,103.11,100,6.7000603,103.11,100,6.7000603,103.11,100,6.7000603,103.11,100,6.7000603,103.11,100,6.648524,101.66,100,6.648524,101.66,100,6.648524,101.66,100,6.648524,101.66,100,6.648524,101.66,100,6.7000603,103.11,100,6.7000603,103.11,100,6.7000603,103.11,100,6.648524,101.66,100,6.648524,101.66,100,6.648524,101.66,100
10222,6.6986951,103.11,100,6.6986951,103.11,100,6.6986951,103.11,100,6.6986951,103.11,100,6.6986951,103.11,100,6.6386263,101.66,100,6.6386263,101.66,100,6.6386263,101.66,100,6.6386263,101.66,100,6.6386263,101.66,100,6.6986951,103.11,100,6.6986951,103.11,100,6.6986951,103.11,100,6.6386263,101.66,100,6.6386263,101.66,100,6.6386263,101.66,100
