;,CEC Title-24 Residential Compliance Ruleset   ,,,,,,,,,,,
;,Solar Thermal Collector data table,,,,,,,,,,,
;,Source Data:,Solar Thermal Listing.xlsx files received from CEC 12/18/19 thru 1/8/20,,,,,,,,,,
;,Created:,1/14/20 - SAC,,,,,,,,,,
;,Last modified:,11/17/24 - RJH - Updated list from SRCC OG-100 Export_20241112-CEC.xlsx (leaving existing entries that may have been decertified),,,,,,,,,,
;,Mod history:,"04/13/21, 05/10/21,  05/11/21 & 05/12/21 - SAC - integrated updates from 2021 CBECC OG-100 Summary 20210324.xlsx",,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
TABLE SolarThermalCollectors,,,,;,(m2),,(W/m2°C),,,,,
,SRCC_IAPMOnumber,Manufacturer,BrandName,ModelNumber,Area,YIntercept,Slope,,,,,
,ForceString,ForceString,ForceString,ForceString,0,0,0,; added to ensure proper/consistent table data classification,,,,
,2009061B,Chromagen Israel Ltd,Chromagen,CR-110-A-P,2.35,0.729,-4.635,; modified - RJH 11/13/24 - was,2.365,0.729,-4.631,
,2009059B,Chromagen Israel Ltd,Chromagen,CR-110-A-SP,2.35,0.723,-3.635,; modified - RJH 11/13/24 - was,2.365,0.732,-4.124,
,2007058B,Chromagen Israel Ltd,Chromagen,CR-110-BC,2.37,0.666,-4.288,,,,,
,2009061C,Chromagen Israel Ltd,Chromagen,CR-120-A-P,2.77,0.737,-4.664,; modified - RJH 11/13/24 - was,2.803,0.738,-4.671,
,2009059C,Chromagen Israel Ltd,Chromagen,CR-120-A-SP,2.77,0.738,-2.76,; modified - RJH 11/13/24 - was,2.803,0.74,-4.154,
,2007058C,Chromagen Israel Ltd,Chromagen,CR-120-BC,2.8,0.669,-4.289,,,,,
,2009061D,Chromagen Israel Ltd,Chromagen,CR-130-A-P,2.964,0.734,-4.647,; modified - RJH 11/13/24 - was,2.964,0.738,-4.67,
,2009059D,Chromagen Israel Ltd,Chromagen,CR-130-A-SP,2.964,0.736,-2.702,; modified - RJH 11/13/24 - was,2.964,0.742,-4.161,
,2007058D,Chromagen Israel Ltd,Chromagen,CR-130-BC,2.96,0.675,-4.327,,,,,
,2007059D,Chromagen Israel Ltd,Chromagen,CR-130-P,2.96,0.663,-5.138,,,,,
,2007057D,Chromagen Israel Ltd,Chromagen,CR-130-SP,2.96,0.694,-4.515,,,,,
,2009061E,Chromagen Israel Ltd,Chromagen,CR-140-A-P,3.708,0.742,-4.691,,,,,
