; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE 42 MMT,,,,,,,,,,,,,,,,
; MoDaHr,Propane TDV (CZ1; kBtu/therm),Propane TDV (CZ2; kBtu/therm),Propane TDV (CZ3; kBtu/therm),Propane TDV (CZ4; kBtu/therm),Propane TDV (CZ5; kBtu/therm),Propane TDV (CZ6; kBtu/therm),Propane TDV (CZ7; kBtu/therm),Propane TDV (CZ8; kBtu/therm),Propane TDV (CZ9; kBtu/therm),Propane TDV (CZ10; kBtu/therm),Propane TDV (CZ11; kBtu/therm),Propane TDV (CZ12; kBtu/therm),Propane TDV (CZ13; kBtu/therm),Propane TDV (CZ14; kBtu/therm),Propane TDV (CZ15; kBtu/therm),Propane TDV (CZ16; kBtu/therm)
10310,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10311,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10312,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10313,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10314,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10315,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10316,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10317,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10318,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10319,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10320,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10321,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10322,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10323,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10324,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10401,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10402,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10403,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10404,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10405,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10406,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10407,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10408,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10409,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10410,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10411,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10412,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10413,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10414,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10415,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10416,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10417,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10418,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10419,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10420,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10421,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10422,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10423,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10424,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10501,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10502,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10503,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10504,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10505,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
