; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV CARBON ONLY,,,,,,,,,,,,,,,,
; MoDaHr,CZ1 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ2 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ3 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ4 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ5 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ6 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ7 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ8 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ9 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ10 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ11 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ12 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ13 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ14 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ15 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ16 Electricity Long-Run Carbon Emission Factors (ton/MWh)
10508,0.241274137,0.241274137,0.241274137,0.241274137,0.241274137,0.244391693,0.244391693,0.244391693,0.244391693,0.244391693,0.241274137,0.241274137,0.241274137,0.244391693,0.244391693,0.244391693
10509,0.240707438,0.240707438,0.240707438,0.240707438,0.240707438,0.238701318,0.238701318,0.238701318,0.238701318,0.238701318,0.240707438,0.240707438,0.240707438,0.238701318,0.238701318,0.238701318
10510,0.230884081,0.230884081,0.230884081,0.230884081,0.230884081,0.064013382,0.064013382,0.064013382,0.064013382,0.064013382,0.230884081,0.230884081,0.230884081,0.064013382,0.064013382,0.064013382
10511,0.220586702,0.220586702,0.220586702,0.220586702,0.220586702,0.064079383,0.064079383,0.064079383,0.064079383,0.064079383,0.220586702,0.220586702,0.220586702,0.064079383,0.064079383,0.064079383
10512,0.220055128,0.220055128,0.220055128,0.220055128,0.220055128,0.063378734,0.063378734,0.063378734,0.063378734,0.063378734,0.220055128,0.220055128,0.220055128,0.063378734,0.063378734,0.063378734
10513,0.21970572,0.21970572,0.21970572,0.21970572,0.21970572,0.051240812,0.051240812,0.051240812,0.051240812,0.051240812,0.21970572,0.21970572,0.21970572,0.051240812,0.051240812,0.051240812
10514,0.220003467,0.220003467,0.220003467,0.220003467,0.220003467,0.063458093,0.063458093,0.063458093,0.063458093,0.063458093,0.220003467,0.220003467,0.220003467,0.063458093,0.063458093,0.063458093
10515,0.220532073,0.220532073,0.220532073,0.220532073,0.220532073,0.064057677,0.064057677,0.064057677,0.064057677,0.064057677,0.220532073,0.220532073,0.220532073,0.064057677,0.064057677,0.064057677
10516,0.240721328,0.240721328,0.240721328,0.240721328,0.240721328,0.238263283,0.238263283,0.238263283,0.238263283,0.238263283,0.240721328,0.240721328,0.240721328,0.238263283,0.238263283,0.238263283
10517,0.242568998,0.242568998,0.242568998,0.242568998,0.242568998,0.24489472,0.24489472,0.24489472,0.24489472,0.24489472,0.242568998,0.242568998,0.242568998,0.24489472,0.24489472,0.24489472
