; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE GHG Only,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10412,4.318208857,4.318208857,4.318208857,4.318208857,4.318208857,0.091572487,0.091572487,0.091572487,0.091572487,0.091572487,4.318208857,4.318208857,4.318208857,0.091572487,0.091572487,0.091572487
10413,4.318033474,4.318033474,4.318033474,4.318033474,4.318033474,0.092422931,0.092422931,0.092422931,0.092422931,0.092422931,4.318033474,4.318033474,4.318033474,0.092422931,0.092422931,0.092422931
10414,0.187002638,0.187002638,0.187002638,0.187002638,0.187002638,0.090250172,0.090250172,0.090250172,0.090250172,0.090250172,0.187002638,0.187002638,0.187002638,0.090250172,0.090250172,0.090250172
10415,4.228360981,4.228360981,4.228360981,4.228360981,4.228360981,0.091332389,0.091332389,0.091332389,0.091332389,0.091332389,4.228360981,4.228360981,4.228360981,0.091332389,0.091332389,0.091332389
10416,4.616249176,4.616249176,4.616249176,4.616249176,4.616249176,4.557764534,4.557764534,4.557764534,4.557764534,4.557764534,4.616249176,4.616249176,4.616249176,4.557764534,4.557764534,4.557764534
10417,5.120521878,5.120521878,5.120521878,5.120521878,5.120521878,5.194410698,5.194410698,5.194410698,5.194410698,5.194410698,5.120521878,5.120521878,5.120521878,5.194410698,5.194410698,5.194410698
10418,5.123845569,5.123845569,5.123845569,5.123845569,5.123845569,5.237054633,5.237054633,5.237054633,5.237054633,5.237054633,5.123845569,5.123845569,5.123845569,5.237054633,5.237054633,5.237054633
10419,5.124333231,5.124333231,5.124333231,5.124333231,5.124333231,5.252499595,5.252499595,5.252499595,5.252499595,5.252499595,5.124333231,5.124333231,5.124333231,5.252499595,5.252499595,5.252499595
10420,5.124294486,5.124294486,5.124294486,5.124294486,5.124294486,5.25460498,5.25460498,5.25460498,5.25460498,5.25460498,5.124294486,5.124294486,5.124294486,5.25460498,5.25460498,5.25460498
10421,5.124833691,5.124833691,5.124833691,5.124833691,5.124833691,5.253951854,5.253951854,5.253951854,5.253951854,5.253951854,5.124833691,5.124833691,5.124833691,5.253951854,5.253951854,5.253951854
10422,5.125471838,5.125471838,5.125471838,5.125471838,5.125471838,5.236146453,5.236146453,5.236146453,5.236146453,5.236146453,5.125471838,5.125471838,5.125471838,5.236146453,5.236146453,5.236146453
10423,5.120616484,5.120616484,5.120616484,5.120616484,5.120616484,5.207605888,5.207605888,5.207605888,5.207605888,5.207605888,5.120616484,5.120616484,5.120616484,5.207605888,5.207605888,5.207605888
10424,5.045546305,5.045546305,5.045546305,5.045546305,5.045546305,5.115495545,5.115495545,5.115495545,5.115495545,5.115495545,5.045546305,5.045546305,5.045546305,5.115495545,5.115495545,5.115495545
10501,4.630512199,4.630512199,4.630512199,4.630512199,4.630512199,4.683581021,4.683581021,4.683581021,4.683581021,4.683581021,4.630512199,4.630512199,4.630512199,4.683581021,4.683581021,4.683581021
10502,4.629201499,4.629201499,4.629201499,4.629201499,4.629201499,4.611011273,4.611011273,4.611011273,4.611011273,4.611011273,4.629201499,4.629201499,4.629201499,4.611011273,4.611011273,4.611011273
10503,4.628039887,4.628039887,4.628039887,4.628039887,4.628039887,4.587710311,4.587710311,4.587710311,4.587710311,4.587710311,4.628039887,4.628039887,4.628039887,4.587710311,4.587710311,4.587710311
10504,4.627770939,4.627770939,4.627770939,4.627770939,4.627770939,4.599331355,4.599331355,4.599331355,4.599331355,4.599331355,4.627770939,4.627770939,4.627770939,4.599331355,4.599331355,4.599331355
10505,4.629175055,4.629175055,4.629175055,4.629175055,4.629175055,4.691506076,4.691506076,4.691506076,4.691506076,4.691506076,4.629175055,4.629175055,4.629175055,4.691506076,4.691506076,4.691506076
10506,4.631844254,4.631844254,4.631844254,4.631844254,4.631844254,4.69479354,4.69479354,4.69479354,4.69479354,4.69479354,4.631844254,4.631844254,4.631844254,4.69479354,4.69479354,4.69479354
10507,4.633286599,4.633286599,4.633286599,4.633286599,4.633286599,4.722175189,4.722175189,4.722175189,4.722175189,4.722175189,4.633286599,4.633286599,4.633286599,4.722175189,4.722175189,4.722175189
10508,4.634843159,4.634843159,4.634843159,4.634843159,4.634843159,4.738167386,4.738167386,4.738167386,4.738167386,4.738167386,4.634843159,4.634843159,4.634843159,4.738167386,4.738167386,4.738167386
10509,4.63096273,4.63096273,4.63096273,4.63096273,4.63096273,4.613692015,4.613692015,4.613692015,4.613692015,4.613692015,4.63096273,4.63096273,4.63096273,4.613692015,4.613692015,4.613692015
10510,4.371117033,4.371117033,4.371117033,4.371117033,4.371117033,0.099179158,0.099179158,0.099179158,0.099179158,0.099179158,4.371117033,4.371117033,4.371117033,0.099179158,0.099179158,0.099179158
10511,4.27971868,4.27971868,4.27971868,4.27971868,4.27971868,0.09924555,0.09924555,0.09924555,0.09924555,0.09924555,4.27971868,4.27971868,4.27971868,0.09924555,0.09924555,0.09924555
10512,4.279473654,4.279473654,4.279473654,4.279473654,4.279473654,0.098594871,0.098594871,0.098594871,0.098594871,0.098594871,4.279473654,4.279473654,4.279473654,0.098594871,0.098594871,0.098594871
10513,4.278654344,4.278654344,4.278654344,4.278654344,4.278654344,0.09814105,0.09814105,0.09814105,0.09814105,0.09814105,4.278654344,4.278654344,4.278654344,0.09814105,0.09814105,0.09814105
10514,4.278044327,4.278044327,4.278044327,4.278044327,4.278044327,0.098621886,0.098621886,0.098621886,0.098621886,0.098621886,4.278044327,4.278044327,4.278044327,0.098621886,0.098621886,0.098621886
10515,4.27817495,4.27817495,4.27817495,4.27817495,4.27817495,0.098329001,0.098329001,0.098329001,0.098329001,0.098329001,4.27817495,4.27817495,4.27817495,0.098329001,0.098329001,0.098329001
10516,4.630777029,4.630777029,4.630777029,4.630777029,4.630777029,4.588839966,4.588839966,4.588839966,4.588839966,4.588839966,4.630777029,4.630777029,4.630777029,4.588839966,4.588839966,4.588839966
10517,4.635215041,4.635215041,4.635215041,4.635215041,4.635215041,4.718818764,4.718818764,4.718818764,4.718818764,4.718818764,4.635215041,4.635215041,4.635215041,4.718818764,4.718818764,4.718818764
10518,4.637158867,4.637158867,4.637158867,4.637158867,4.637158867,4.777195634,4.777195634,4.777195634,4.777195634,4.777195634,4.637158867,4.637158867,4.637158867,4.777195634,4.777195634,4.777195634
10519,4.637654203,4.637654203,4.637654203,4.637654203,4.637654203,5.129430145,5.129430145,5.129430145,5.129430145,5.129430145,4.637654203,4.637654203,4.637654203,5.129430145,5.129430145,5.129430145
10520,4.637556005,4.637556005,4.637556005,4.637556005,4.637556005,5.133353208,5.133353208,5.133353208,5.133353208,5.133353208,4.637556005,4.637556005,4.637556005,5.133353208,5.133353208,5.133353208
10521,4.638074433,4.638074433,4.638074433,4.638074433,4.638074433,5.124036993,5.124036993,5.124036993,5.124036993,5.124036993,4.638074433,4.638074433,4.638074433,5.124036993,5.124036993,5.124036993
10522,4.638567427,4.638567427,4.638567427,4.638567427,4.638567427,4.843122597,4.843122597,4.843122597,4.843122597,4.843122597,4.638567427,4.638567427,4.638567427,4.843122597,4.843122597,4.843122597
10523,4.63558386,4.63558386,4.63558386,4.63558386,4.63558386,4.717036869,4.717036869,4.717036869,4.717036869,4.717036869,4.63558386,4.63558386,4.63558386,4.717036869,4.717036869,4.717036869
10524,4.634798524,4.634798524,4.634798524,4.634798524,4.634798524,4.694329112,4.694329112,4.694329112,4.694329112,4.694329112,4.634798524,4.634798524,4.634798524,4.694329112,4.694329112,4.694329112
10601,4.482572241,4.482572241,4.482572241,4.482572241,4.482572241,4.402365925,4.402365925,4.402365925,4.402365925,4.402365925,4.482572241,4.482572241,4.482572241,4.402365925,4.402365925,4.402365925
10602,4.480614229,4.480614229,4.480614229,4.480614229,4.480614229,4.383493107,4.383493107,4.383493107,4.383493107,4.383493107,4.480614229,4.480614229,4.480614229,4.383493107,4.383493107,4.383493107
10603,4.42571969,4.42571969,4.42571969,4.42571969,4.42571969,4.325163803,4.325163803,4.325163803,4.325163803,4.325163803,4.42571969,4.42571969,4.42571969,4.325163803,4.325163803,4.325163803
10604,4.425614674,4.425614674,4.425614674,4.425614674,4.425614674,4.326435326,4.326435326,4.326435326,4.326435326,4.326435326,4.425614674,4.425614674,4.425614674,4.326435326,4.326435326,4.326435326
10605,4.447392042,4.447392042,4.447392042,4.447392042,4.447392042,4.366835316,4.366835316,4.366835316,4.366835316,4.366835316,4.447392042,4.447392042,4.447392042,4.366835316,4.366835316,4.366835316
