,,Year,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,;,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,,,
,,<=2003,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,;,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,,,CathedralCeiling:Construction:CavityLayer
,,<=2005,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,;,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,,ExtFlr data ->,ExtWall:Construction:CavityLayer
,,*,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,;,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,R-value,,,,FloorOverCrawl:Construction:CavityLayer
,ENDTABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABLE ExEDR_EnvelopeAirChanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Year,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,ACH50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ClimZone =,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<=1978,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,;,Year  =>  Proj:YearEnvelope,,,,,,,,,,,,,,,,,,Year  =>  Proj:YearEnvelope,,,,,,,,,,,,,,,,,,,,
,,<=1983,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,;,Data  ->  Proj:ACH50,,,,,,,,,,,,,,,,,,Data  ->  Proj:ACH50,,,,,,,,,,,,,,,,,,,,
,,<=1991,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<=1998,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<=2000,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<=2003,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<=2005,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,*,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENDTABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
