;,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,G,G,G,H,H,H,I,I,I,J,J,J,K,K,K,L,L,L,M,M,M,N,N,N,O,O,O,P,P,P,Q,Q,Q
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10205,26.0558659,268.71,435.87,25.8207102,268.71,435.87,25.9944319,268.71,435.87,25.8316318,268.71,435.87,25.9667866,268.71,435.87,25.2582478,270.99,435.87,25.8538163,264.31,435.87,24.9241151,270.99,435.87,24.7995406,270.99,435.87,24.822749,270.99,435.87,25.7538154,268.71,435.87,25.7824846,268.71,435.87,25.9323153,268.71,435.87,24.9715558,270.99,435.87,25.0596112,270.99,435.87,26.0910198,270.99,435.87
10206,28.7965049,268.71,435.87,28.5616905,268.71,435.87,28.7354122,268.71,435.87,28.5726121,268.71,435.87,28.7077669,268.71,435.87,26.6814688,270.99,435.87,27.2753308,264.31,435.87,26.3473361,270.99,435.87,26.2224203,270.99,435.87,26.24597,270.99,435.87,28.4944544,268.71,435.87,28.5234649,268.71,435.87,28.6732956,268.71,435.87,26.3944355,270.99,435.87,26.4824909,270.99,435.87,27.5142408,270.99,435.87
10207,29.04463,268.71,435.87,28.8098156,268.71,435.87,28.9835373,268.71,435.87,28.8207372,268.71,435.87,28.955892,268.71,435.87,28.0067367,270.99,435.87,28.5992335,264.31,435.87,27.672604,270.99,435.87,27.5480295,270.99,435.87,27.5712379,270.99,435.87,28.7425795,268.71,435.87,28.77159,268.71,435.87,28.9210794,268.71,435.87,27.7197034,270.99,435.87,27.8081001,270.99,435.87,28.8395087,270.99,435.87
10208,29.0384866,268.71,435.87,28.8033309,268.71,435.87,28.9770526,268.71,435.87,28.8142525,268.71,435.87,28.9497486,268.71,435.87,27.5705553,270.99,435.87,28.1637347,264.31,435.87,27.2364226,270.99,435.87,27.1118481,270.99,435.87,27.1353978,270.99,435.87,28.7364361,268.71,435.87,28.7651053,268.71,435.87,28.914936,268.71,435.87,27.2838633,270.99,435.87,27.3719187,270.99,435.87,28.4036686,270.99,435.87
10209,28.7176646,268.71,435.87,28.4825089,268.71,435.87,28.6562306,268.71,435.87,28.4934305,268.71,435.87,28.6285853,268.71,435.87,24.894422,270.99,435.87,25.4995469,264.31,435.87,24.5602893,270.99,435.87,24.4357148,270.99,435.87,24.4589232,270.99,435.87,28.4156141,268.71,435.87,28.4442833,268.71,435.87,28.594114,268.71,435.87,24.60773,270.99,435.87,24.6957854,270.99,435.87,25.727194,270.99,435.87
10210,25.7295831,268.71,435.87,25.4947687,268.71,435.87,25.6684904,268.71,435.87,25.5056903,268.71,435.87,25.6408451,268.71,435.87,22.4094167,270.99,435.87,23.0159068,264.31,435.87,22.075284,270.99,435.87,21.9507095,270.99,435.87,21.9742592,270.99,435.87,25.4275326,268.71,435.87,25.4565431,268.71,435.87,25.6063738,268.71,435.87,22.1227247,270.99,435.87,22.2107801,270.99,435.87,23.24253,270.99,435.87
10211,24.6688227,268.71,435.87,24.4340083,268.71,435.87,24.60773,268.71,435.87,24.4449299,268.71,435.87,24.5800847,268.71,435.87,21.6943932,270.99,435.87,22.3012246,264.31,435.87,21.3602605,270.99,435.87,21.2353447,270.99,435.87,21.2588944,270.99,435.87,24.3667722,268.71,435.87,24.3957827,268.71,435.87,24.5452721,268.71,435.87,21.4073599,270.99,435.87,21.4957566,270.99,435.87,22.5271652,270.99,435.87
10212,23.0681257,268.71,435.87,22.83297,268.71,435.87,23.0066917,268.71,435.87,22.8438916,268.71,435.87,22.9793877,268.71,435.87,21.4513876,270.99,435.87,22.058219,264.31,435.87,21.1172549,270.99,435.87,20.9926804,270.99,435.87,21.0158888,270.99,435.87,22.7660752,268.71,435.87,22.7947444,268.71,435.87,22.9445751,268.71,435.87,21.1643543,270.99,435.87,21.252751,270.99,435.87,22.2841596,270.99,435.87
10213,22.0609494,268.71,435.87,21.8257937,268.71,435.87,21.9995154,268.71,435.87,21.8367153,268.71,435.87,21.9718701,268.71,435.87,21.3254479,270.99,435.87,21.9322793,264.31,435.87,20.9913152,270.99,435.87,20.8667407,270.99,435.87,20.8899491,270.99,435.87,21.7588989,268.71,435.87,21.7875681,268.71,435.87,21.9373988,268.71,435.87,21.0384146,270.99,435.87,21.1268113,270.99,435.87,22.1582199,270.99,435.87
10214,21.6227202,268.71,435.87,21.3875645,268.71,435.87,21.5616275,268.71,435.87,21.3984861,268.71,435.87,21.5339822,268.71,435.87,21.1305656,270.99,435.87,21.7377383,264.31,435.87,20.7964329,270.99,435.87,20.6718584,270.99,435.87,20.6954081,270.99,435.87,21.3206697,268.71,435.87,21.3496802,268.71,435.87,21.4991696,268.71,435.87,20.8438736,270.99,435.87,20.931929,270.99,435.87,21.9636789,270.99,435.87
