; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10204,4.557301032,93.13284291,100,4.557301032,93.13284291,100,4.557301032,93.13284291,100,4.557301032,93.13284291,100,4.557301032,93.13284291,100,4.597115964,91.8231482,100,4.584486414,91.8231482,100,4.597115964,91.8231482,100,4.597115964,91.8231482,100,4.597115964,91.8231482,100,4.557301032,93.13284291,100,4.557301032,93.13284291,100,4.557301032,93.13284291,100,4.597115964,91.8231482,100,4.597115964,91.8231482,100,4.597115964,91.8231482,100
10205,5.028275644,93.13284291,100,5.028275644,93.13284291,100,5.028275644,93.13284291,100,5.028275644,93.13284291,100,5.028275644,93.13284291,100,5.072205252,91.8231482,100,5.058270501,91.8231482,100,5.072205252,91.8231482,100,5.072205252,91.8231482,100,5.072205252,91.8231482,100,5.028275644,93.13284291,100,5.028275644,93.13284291,100,5.028275644,93.13284291,100,5.072205252,91.8231482,100,5.072205252,91.8231482,100,5.072205252,91.8231482,100
10206,5.163771973,93.13284291,100,5.163771973,93.13284291,100,5.163771973,93.13284291,100,5.163771973,93.13284291,100,5.163771973,93.13284291,100,5.208885347,91.8231482,100,5.194575097,91.8231482,100,5.208885347,91.8231482,100,5.208885347,91.8231482,100,5.208885347,91.8231482,100,5.163771973,93.13284291,100,5.163771973,93.13284291,100,5.163771973,93.13284291,100,5.208885347,91.8231482,100,5.208885347,91.8231482,100,5.208885347,91.8231482,100
10207,5.171238866,93.13284291,100,5.171238866,93.13284291,100,5.171238866,93.13284291,100,5.171238866,93.13284291,100,5.171238866,93.13284291,100,5.216417475,91.8231482,100,5.202086533,91.8231482,100,5.216417475,91.8231482,100,5.216417475,91.8231482,100,5.216417475,91.8231482,100,5.171238866,93.13284291,100,5.171238866,93.13284291,100,5.171238866,93.13284291,100,5.216417475,91.8231482,100,5.216417475,91.8231482,100,5.216417475,91.8231482,100
10208,5.168544589,93.13284291,100,5.168544589,93.13284291,100,5.168544589,93.13284291,100,5.168544589,93.13284291,100,5.168544589,93.13284291,100,5.213699659,91.8231482,100,5.199376183,91.8231482,100,5.213699659,91.8231482,100,5.213699659,91.8231482,100,5.213699659,91.8231482,100,5.168544589,93.13284291,100,5.168544589,93.13284291,100,5.168544589,93.13284291,100,5.213699659,91.8231482,100,5.213699659,91.8231482,100,5.213699659,91.8231482,100
10209,5.239996636,93.13284291,100,5.239996636,93.13284291,100,5.239996636,93.13284291,100,5.239996636,93.13284291,100,5.239996636,93.13284291,100,5.17784787,91.8231482,100,5.172447077,91.8231482,100,5.17784787,91.8231482,100,5.17784787,91.8231482,100,5.17784787,91.8231482,100,5.239996636,93.13284291,100,5.239996636,93.13284291,100,5.239996636,93.13284291,100,5.17784787,91.8231482,100,5.17784787,91.8231482,100,5.17784787,91.8231482,100
10210,4.341194093,93.13284291,100,4.341194093,93.13284291,100,4.341194093,93.13284291,100,4.341194093,93.13284291,100,4.341194093,93.13284291,100,4.289705538,91.8231482,100,4.285231129,91.8231482,100,4.289705538,91.8231482,100,4.289705538,91.8231482,100,4.289705538,91.8231482,100,4.341194093,93.13284291,100,4.341194093,93.13284291,100,4.341194093,93.13284291,100,4.289705538,91.8231482,100,4.289705538,91.8231482,100,4.289705538,91.8231482,100
10211,3.571374346,93.13284291,100,3.571374346,93.13284291,100,3.571374346,93.13284291,100,3.571374346,93.13284291,100,3.571374346,93.13284291,100,3.529016206,91.8231482,100,3.525335239,91.8231482,100,3.529016206,91.8231482,100,3.529016206,91.8231482,100,3.529016206,91.8231482,100,3.571374346,93.13284291,100,3.571374346,93.13284291,100,3.571374346,93.13284291,100,3.529016206,91.8231482,100,3.529016206,91.8231482,100,3.529016206,91.8231482,100
10212,3.414734258,93.13284291,100,3.414734258,93.13284291,100,3.414734258,93.13284291,100,3.414734258,93.13284291,100,3.414734258,93.13284291,100,3.374233941,91.8231482,100,3.370714421,91.8231482,100,3.374233941,91.8231482,100,3.374233941,91.8231482,100,3.374233941,91.8231482,100,3.414734258,93.13284291,100,3.414734258,93.13284291,100,3.414734258,93.13284291,100,3.374233941,91.8231482,100,3.374233941,91.8231482,100,3.374233941,91.8231482,100
10213,3.327385927,93.13284291,100,3.327385927,93.13284291,100,3.327385927,93.13284291,100,3.327385927,93.13284291,100,3.327385927,93.13284291,100,3.287921602,91.8231482,100,3.284492111,91.8231482,100,3.287921602,91.8231482,100,3.287921602,91.8231482,100,3.287921602,91.8231482,100,3.327385927,93.13284291,100,3.327385927,93.13284291,100,3.327385927,93.13284291,100,3.287921602,91.8231482,100,3.287921602,91.8231482,100,3.287921602,91.8231482,100
