; Use with 2009 calendar year and updated CEC weather data      - source file: 2022_TDV_Emissions_Factor_Policy_Comp_20191011.xlsx,,,,,,,,,,,,,,,,
; Version ID: Long Run Marginal Emissions Factors Deep_Decarb,,,,,,,,,,,,,,,,
; MoDaHr,Electricity Long Run Emissions (CZ1; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ2; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ3; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ4; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ5; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ6; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ7; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ8; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ9; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ10; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ11; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ12; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ13; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ14; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ15; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ16; tonnes CO2-e/kWh)
10419,0.000246005,0.000246005,0.000246005,0.000246005,0.000246005,0.000248155,0.000247473,0.000248155,0.000248155,0.000248155,0.000246005,0.000246005,0.000246005,0.000248155,0.000248155,0.000248155
10420,0.000245955,0.000245955,0.000245955,0.000245955,0.000245955,0.000248103,0.000247422,0.000248103,0.000248103,0.000248103,0.000245955,0.000245955,0.000245955,0.000248103,0.000248103,0.000248103
10421,0.000245987,0.000245987,0.000245987,0.000245987,0.000245987,0.000248136,0.000247454,0.000248136,0.000248136,0.000248136,0.000245987,0.000245987,0.000245987,0.000248136,0.000248136,0.000248136
10422,0.000245993,0.000245993,0.000245993,0.000245993,0.000245993,0.000248142,0.00024746,0.000248142,0.000248142,0.000248142,0.000245993,0.000245993,0.000245993,0.000248142,0.000248142,0.000248142
10423,0.000246095,0.000246095,0.000246095,0.000246095,0.000246095,0.000248245,0.000247563,0.000248245,0.000248245,0.000248245,0.000246095,0.000246095,0.000246095,0.000248245,0.000248245,0.000248245
10424,0.000246115,0.000246115,0.000246115,0.000246115,0.000246115,0.000248265,0.000247583,0.000248265,0.000248265,0.000248265,0.000246115,0.000246115,0.000246115,0.000248265,0.000248265,0.000248265
10501,0.000278662,0.000278662,0.000278662,0.000278662,0.000278662,0.000281096,0.000280324,0.000281096,0.000281096,0.000281096,0.000278662,0.000278662,0.000278662,0.000281096,0.000281096,0.000281096
10502,0.00027804,0.00027804,0.00027804,0.00027804,0.00027804,0.000280469,0.000279699,0.000280469,0.000280469,0.000280469,0.00027804,0.00027804,0.00027804,0.000280469,0.000280469,0.000280469
10503,0.00027681,0.00027681,0.00027681,0.00027681,0.00027681,0.000279228,0.000278461,0.000279228,0.000279228,0.000279228,0.00027681,0.00027681,0.00027681,0.000279228,0.000279228,0.000279228
10504,0.000276788,0.000276788,0.000276788,0.000276788,0.000276788,0.000279206,0.000278439,0.000279206,0.000279206,0.000279206,0.000276788,0.000276788,0.000276788,0.000279206,0.000279206,0.000279206
