; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV Interim GHG Adder Only,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10305,1.24607074,1.24607074,1.24607074,1.24607074,1.24607074,0.325561875,0.325561875,0.325561875,0.325561875,0.325561875,1.24607074,1.24607074,1.24607074,0.325561875,0.325561875,0.325561875
10306,1.304734339,1.304734339,1.304734339,1.304734339,1.304734339,1.198056377,1.198056377,1.198056377,1.198056377,1.198056377,1.304734339,1.304734339,1.304734339,1.198056377,1.198056377,1.198056377
10307,1.377282742,1.377282742,1.377282742,1.377282742,1.377282742,1.354213956,1.354213956,1.354213956,1.354213956,1.354213956,1.377282742,1.377282742,1.377282742,1.354213956,1.354213956,1.354213956
10308,1.41810778,1.41810778,1.41810778,1.41810778,1.41810778,1.400144571,1.400144571,1.400144571,1.400144571,1.400144571,1.41810778,1.41810778,1.41810778,1.400144571,1.400144571,1.400144571
10309,1.348661229,1.348661229,1.348661229,1.348661229,1.348661229,1.217491962,1.217491962,1.217491962,1.217491962,1.217491962,1.348661229,1.348661229,1.348661229,1.217491962,1.217491962,1.217491962
10310,1.181726662,1.181726662,1.181726662,1.181726662,1.181726662,0.422775984,0.422775984,0.422775984,0.422775984,0.422775984,1.181726662,1.181726662,1.181726662,0.422775984,0.422775984,0.422775984
10311,1.177108923,1.177108923,1.177108923,1.177108923,1.177108923,0.415558322,0.415558322,0.415558322,0.415558322,0.415558322,1.177108923,1.177108923,1.177108923,0.415558322,0.415558322,0.415558322
10312,0.432208802,0.432208802,0.432208802,0.432208802,0.432208802,0.348925996,0.348925996,0.348925996,0.348925996,0.348925996,0.432208802,0.432208802,0.432208802,0.348925996,0.348925996,0.348925996
10313,0.435735677,0.435735677,0.435735677,0.435735677,0.435735677,0.352222363,0.352222363,0.352222363,0.352222363,0.352222363,0.435735677,0.435735677,0.435735677,0.352222363,0.352222363,0.352222363
10314,1.174589308,1.174589308,1.174589308,1.174589308,1.174589308,0.260281159,0.260281159,0.260281159,0.260281159,0.260281159,1.174589308,1.174589308,1.174589308,0.260281159,0.260281159,0.260281159
10315,1.176542425,1.176542425,1.176542425,1.176542425,1.176542425,0.348187129,0.348187129,0.348187129,0.348187129,0.348187129,1.176542425,1.176542425,1.176542425,0.348187129,0.348187129,0.348187129
10316,1.314303829,1.314303829,1.314303829,1.314303829,1.314303829,1.282241638,1.282241638,1.282241638,1.282241638,1.282241638,1.314303829,1.314303829,1.314303829,1.282241638,1.282241638,1.282241638
10317,1.439856621,1.439856621,1.439856621,1.439856621,1.439856621,1.438153194,1.438153194,1.438153194,1.438153194,1.438153194,1.439856621,1.439856621,1.439856621,1.438153194,1.438153194,1.438153194
10318,1.439931903,1.439931903,1.439931903,1.439931903,1.439931903,1.463639268,1.463639268,1.463639268,1.463639268,1.463639268,1.439931903,1.439931903,1.439931903,1.463639268,1.463639268,1.463639268
10319,1.440077763,1.440077763,1.440077763,1.440077763,1.440077763,1.475173462,1.475173462,1.475173462,1.475173462,1.475173462,1.440077763,1.440077763,1.440077763,1.475173462,1.475173462,1.475173462
10320,1.440098615,1.440098615,1.440098615,1.440098615,1.440098615,1.475952937,1.475952937,1.475952937,1.475952937,1.475952937,1.440098615,1.440098615,1.440098615,1.475952937,1.475952937,1.475952937
10321,1.440256275,1.440256275,1.440256275,1.440256275,1.440256275,1.474589997,1.474589997,1.474589997,1.474589997,1.474589997,1.440256275,1.440256275,1.440256275,1.474589997,1.474589997,1.474589997
10322,1.440398209,1.440398209,1.440398209,1.440398209,1.440398209,1.462712566,1.462712566,1.462712566,1.462712566,1.462712566,1.440398209,1.440398209,1.440398209,1.462712566,1.462712566,1.462712566
10323,1.439107914,1.439107914,1.439107914,1.439107914,1.439107914,1.447875675,1.447875675,1.447875675,1.447875675,1.447875675,1.439107914,1.439107914,1.439107914,1.447875675,1.447875675,1.447875675
10324,1.429703629,1.429703629,1.429703629,1.429703629,1.429703629,1.417730829,1.417730829,1.417730829,1.417730829,1.417730829,1.429703629,1.429703629,1.429703629,1.417730829,1.417730829,1.417730829
