; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE GHG Only,,,,,,,,,,,,,,,,
; MoDaHr,Propane TDV (CZ1; kBtu/therm),Propane TDV (CZ2; kBtu/therm),Propane TDV (CZ3; kBtu/therm),Propane TDV (CZ4; kBtu/therm),Propane TDV (CZ5; kBtu/therm),Propane TDV (CZ6; kBtu/therm),Propane TDV (CZ7; kBtu/therm),Propane TDV (CZ8; kBtu/therm),Propane TDV (CZ9; kBtu/therm),Propane TDV (CZ10; kBtu/therm),Propane TDV (CZ11; kBtu/therm),Propane TDV (CZ12; kBtu/therm),Propane TDV (CZ13; kBtu/therm),Propane TDV (CZ14; kBtu/therm),Propane TDV (CZ15; kBtu/therm),Propane TDV (CZ16; kBtu/therm)
10309,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10310,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10311,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10312,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10313,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10314,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10315,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10316,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10317,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10318,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10319,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10320,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10321,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
