; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10202,8.430679591,90.53726733,100,8.430679591,90.53726733,100,8.430679591,90.53726733,100,8.430679591,90.53726733,100,8.430679591,90.53726733,100,8.430679591,89.962624,100,8.430679591,89.64436,100,8.430679591,89.962624,100,8.430679591,89.962624,100,8.430679591,89.962624,100,8.430679591,90.53726733,100,8.430679591,90.53726733,100,8.430679591,90.53726733,100,8.430679591,89.962624,100,8.430679591,89.962624,100,8.430679591,89.962624,100
10203,8.076480258,90.53726733,100,8.076480258,90.53726733,100,8.076480258,90.53726733,100,8.076480258,90.53726733,100,8.076480258,90.53726733,100,8.076480258,89.962624,100,8.076480258,89.64436,100,8.076480258,89.962624,100,8.076480258,89.962624,100,8.076480258,89.962624,100,8.076480258,90.53726733,100,8.076480258,90.53726733,100,8.076480258,90.53726733,100,8.076480258,89.962624,100,8.076480258,89.962624,100,8.076480258,89.962624,100
10204,5.754611086,90.53726733,100,5.754611086,90.53726733,100,5.754611086,90.53726733,100,5.754611086,90.53726733,100,5.754611086,90.53726733,100,5.754611086,89.962624,100,5.754611086,89.64436,100,5.754611086,89.962624,100,5.754611086,89.962624,100,5.754611086,89.962624,100,5.754611086,90.53726733,100,5.754611086,90.53726733,100,5.754611086,90.53726733,100,5.754611086,89.962624,100,5.754611086,89.962624,100,5.754611086,89.962624,100
10205,4.701492347,90.53726733,100,4.701492347,90.53726733,100,4.701492347,90.53726733,100,4.701492347,90.53726733,100,4.701492347,90.53726733,100,4.701492347,89.962624,100,4.701492347,89.64436,100,4.701492347,89.962624,100,4.701492347,89.962624,100,4.701492347,89.962624,100,4.701492347,90.53726733,100,4.701492347,90.53726733,100,4.701492347,90.53726733,100,4.701492347,89.962624,100,4.701492347,89.962624,100,4.701492347,89.962624,100
10206,5.739847876,90.53726733,100,5.739847876,90.53726733,100,5.739847876,90.53726733,100,5.739847876,90.53726733,100,5.739847876,90.53726733,100,5.739847876,89.962624,100,5.739847876,89.64436,100,5.739847876,89.962624,100,5.739847876,89.962624,100,5.739847876,89.962624,100,5.739847876,90.53726733,100,5.739847876,90.53726733,100,5.739847876,90.53726733,100,5.739847876,89.962624,100,5.739847876,89.962624,100,5.739847876,89.962624,100
10207,7.508662998,90.53726733,100,7.508662998,90.53726733,100,7.508662998,90.53726733,100,7.508662998,90.53726733,100,7.508662998,90.53726733,100,7.508662998,89.962624,100,7.508662998,89.64436,100,7.508662998,89.962624,100,7.508662998,89.962624,100,7.508662998,89.962624,100,7.508662998,90.53726733,100,7.508662998,90.53726733,100,7.508662998,90.53726733,100,7.508662998,89.962624,100,7.508662998,89.962624,100,7.508662998,89.962624,100
10208,6.160838943,90.53726733,100,6.160838943,90.53726733,100,6.160838943,90.53726733,100,6.160838943,90.53726733,100,6.160838943,90.53726733,100,6.160838943,89.962624,100,6.160838943,89.64436,100,6.160838943,89.962624,100,6.160838943,89.962624,100,6.160838943,89.962624,100,6.160838943,90.53726733,100,6.160838943,90.53726733,100,6.160838943,90.53726733,100,6.160838943,89.962624,100,6.160838943,89.962624,100,6.160838943,89.962624,100
10209,5.207981427,90.53726733,100,5.207981427,90.53726733,100,5.207981427,90.53726733,100,5.207981427,90.53726733,100,5.207981427,90.53726733,100,5.207981427,89.962624,100,5.207981427,89.64436,100,5.207981427,89.962624,100,5.207981427,89.962624,100,5.207981427,89.962624,100,5.207981427,90.53726733,100,5.207981427,90.53726733,100,5.207981427,90.53726733,100,5.207981427,89.962624,100,5.207981427,89.962624,100,5.207981427,89.962624,100
10210,5.205827151,90.53726733,100,5.205827151,90.53726733,100,5.205827151,90.53726733,100,5.205827151,90.53726733,100,5.205827151,90.53726733,100,5.205827151,89.962624,100,5.205827151,89.64436,100,5.205827151,89.962624,100,5.205827151,89.962624,100,5.205827151,89.962624,100,5.205827151,90.53726733,100,5.205827151,90.53726733,100,5.205827151,90.53726733,100,5.205827151,89.962624,100,5.205827151,89.962624,100,5.205827151,89.962624,100
10211,5.220564629,90.53726733,100,5.220564629,90.53726733,100,5.220564629,90.53726733,100,5.220564629,90.53726733,100,5.220564629,90.53726733,100,5.220564629,89.962624,100,5.220564629,89.64436,100,5.220564629,89.962624,100,5.220564629,89.962624,100,5.220564629,89.962624,100,5.220564629,90.53726733,100,5.220564629,90.53726733,100,5.220564629,90.53726733,100,5.220564629,89.962624,100,5.220564629,89.962624,100,5.220564629,89.962624,100
10212,4.12506733,90.53726733,100,4.12506733,90.53726733,100,4.12506733,90.53726733,100,4.12506733,90.53726733,100,4.12506733,90.53726733,100,4.12506733,89.962624,100,4.12506733,89.64436,100,4.12506733,89.962624,100,4.12506733,89.962624,100,4.12506733,89.962624,100,4.12506733,90.53726733,100,4.12506733,90.53726733,100,4.12506733,90.53726733,100,4.12506733,89.962624,100,4.12506733,89.962624,100,4.12506733,89.962624,100
10213,4.064893779,90.53726733,100,4.064893779,90.53726733,100,4.064893779,90.53726733,100,4.064893779,90.53726733,100,4.064893779,90.53726733,100,4.064893779,89.962624,100,4.064893779,89.64436,100,4.064893779,89.962624,100,4.064893779,89.962624,100,4.064893779,89.962624,100,4.064893779,90.53726733,100,4.064893779,90.53726733,100,4.064893779,90.53726733,100,4.064893779,89.962624,100,4.064893779,89.962624,100,4.064893779,89.962624,100
10214,4.09321497,90.53726733,100,4.09321497,90.53726733,100,4.09321497,90.53726733,100,4.09321497,90.53726733,100,4.09321497,90.53726733,100,4.09321497,89.962624,100,4.09321497,89.64436,100,4.09321497,89.962624,100,4.09321497,89.962624,100,4.09321497,89.962624,100,4.09321497,90.53726733,100,4.09321497,90.53726733,100,4.09321497,90.53726733,100,4.09321497,89.962624,100,4.09321497,89.962624,100,4.09321497,89.962624,100
10215,4.087679877,90.53726733,100,4.087679877,90.53726733,100,4.087679877,90.53726733,100,4.087679877,90.53726733,100,4.087679877,90.53726733,100,4.087679877,89.962624,100,4.087679877,89.64436,100,4.087679877,89.962624,100,4.087679877,89.962624,100,4.087679877,89.962624,100,4.087679877,90.53726733,100,4.087679877,90.53726733,100,4.087679877,90.53726733,100,4.087679877,89.962624,100,4.087679877,89.962624,100,4.087679877,89.962624,100
10216,4.785916977,90.53726733,100,4.785916977,90.53726733,100,4.785916977,90.53726733,100,4.785916977,90.53726733,100,4.785916977,90.53726733,100,4.785916977,89.962624,100,4.785916977,89.64436,100,4.785916977,89.962624,100,4.785916977,89.962624,100,4.785916977,89.962624,100,4.785916977,90.53726733,100,4.785916977,90.53726733,100,4.785916977,90.53726733,100,4.785916977,89.962624,100,4.785916977,89.962624,100,4.785916977,89.962624,100
10217,6.199676379,90.53726733,100,6.199676379,90.53726733,100,6.199676379,90.53726733,100,6.199676379,90.53726733,100,6.199676379,90.53726733,100,6.199676379,89.962624,100,6.199676379,89.64436,100,6.199676379,89.962624,100,6.199676379,89.962624,100,6.199676379,89.962624,100,6.199676379,90.53726733,100,6.199676379,90.53726733,100,6.199676379,90.53726733,100,6.199676379,89.962624,100,6.199676379,89.962624,100,6.199676379,89.962624,100
