;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10207,5.1655,1.8476,4.8019,5.1655,1.8476,4.8019,5.1655,1.8476,4.8019,5.1655,1.8476,4.8019,5.1655,1.8476,4.8019,4.937,1.8666,4.8019,5.1861,1.8084,4.8019,4.9458,1.8666,4.8019,4.9018,1.8666,4.8019,4.8989,1.8666,4.8019,5.1655,1.8476,4.8019,5.1655,1.8476,4.8019,5.1655,1.8476,4.8019,4.896,1.8666,4.8019,4.8989,1.8666,4.8019,4.8843,1.8666,4.8019
10208,5.6519,1.8476,4.8019,5.649,1.8476,4.8019,5.649,1.8476,4.8019,5.649,1.8476,4.8019,5.649,1.8476,4.8019,5.4205,1.8666,4.8019,5.6695,1.8084,4.8019,5.4263,1.8666,4.8019,5.3824,1.8666,4.8019,5.3794,1.8666,4.8019,5.649,1.8476,4.8019,5.649,1.8476,4.8019,5.649,1.8476,4.8019,5.3765,1.8666,4.8019,5.3824,1.8666,4.8019,5.3677,1.8666,4.8019
10209,6.0563,1.8476,4.8019,6.0563,1.8476,4.8019,6.0563,1.8476,4.8019,6.0533,1.8476,4.8019,6.0533,1.8476,4.8019,5.7486,1.8666,4.8019,5.9771,1.8084,4.8019,5.7545,1.8666,4.8019,5.7105,1.8666,4.8019,5.7076,1.8666,4.8019,6.0533,1.8476,4.8019,6.0533,1.8476,4.8019,6.0563,1.8476,4.8019,5.7047,1.8666,4.8019,5.7105,1.8666,4.8019,5.6959,1.8666,4.8019
10210,6.1002,1.8476,4.8019,6.1002,1.8476,4.8019,6.1002,1.8476,4.8019,6.1002,1.8476,4.8019,6.1002,1.8476,4.8019,5.816,1.8666,4.8019,6.0445,1.8084,4.8019,5.8219,1.8666,4.8019,5.7779,1.8666,4.8019,5.775,1.8666,4.8019,6.1002,1.8476,4.8019,6.1002,1.8476,4.8019,6.1002,1.8476,4.8019,5.772,1.8666,4.8019,5.7779,1.8666,4.8019,5.7633,1.8666,4.8019
10211,6.1442,1.8476,4.8019,6.1442,1.8476,4.8019,6.1442,1.8476,4.8019,6.1442,1.8476,4.8019,6.1442,1.8476,4.8019,5.8453,1.8666,4.8019,6.0768,1.8084,4.8019,5.8541,1.8666,4.8019,5.8101,1.8666,4.8019,5.8072,1.8666,4.8019,6.1442,1.8476,4.8019,6.1442,1.8476,4.8019,6.1442,1.8476,4.8019,5.8043,1.8666,4.8019,5.8072,1.8666,4.8019,5.7926,1.8666,4.8019
10212,6.0475,1.8476,4.8019,6.0475,1.8476,4.8019,6.0475,1.8476,4.8019,6.0475,1.8476,4.8019,6.0475,1.8476,4.8019,5.7662,1.8666,4.8019,5.9947,1.8084,4.8019,5.775,1.8666,4.8019,5.7281,1.8666,4.8019,5.7252,1.8666,4.8019,6.0475,1.8476,4.8019,6.0475,1.8476,4.8019,6.0475,1.8476,4.8019,5.7222,1.8666,4.8019,5.7281,1.8666,4.8019,5.7134,1.8666,4.8019
10213,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.5611,1.8666,4.8019,5.7896,1.8084,4.8019,5.5669,1.8666,4.8019,5.523,1.8666,4.8019,5.5201,1.8666,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.5171,1.8666,4.8019,5.523,1.8666,4.8019,5.5084,1.8666,4.8019
10214,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.5523,1.8666,4.8019,5.7808,1.8084,4.8019,5.5582,1.8666,4.8019,5.5142,1.8666,4.8019,5.5113,1.8666,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.8394,1.8476,4.8019,5.5084,1.8666,4.8019,5.5142,1.8666,4.8019,5.4996,1.8666,4.8019
10215,5.9859,1.8476,4.8019,5.9859,1.8476,4.8019,5.9859,1.8476,4.8019,5.9859,1.8476,4.8019,5.9859,1.8476,4.8019,5.6959,1.8666,4.8019,5.9273,1.8084,4.8019,5.7047,1.8666,4.8019,5.6607,1.8666,4.8019,5.6578,1.8666,4.8019,5.9859,1.8476,4.8019,5.9859,1.8476,4.8019,5.9859,1.8476,4.8019,5.6548,1.8666,4.8019,5.6578,1.8666,4.8019,5.6431,1.8666,4.8019
10216,6.0738,1.8476,4.8019,6.0738,1.8476,4.8019,6.0738,1.8476,4.8019,6.0738,1.8476,4.8019,6.0738,1.8476,4.8019,5.7838,1.8666,4.8019,6.0123,1.8084,4.8019,5.7896,1.8666,4.8019,5.7457,1.8666,4.8019,5.7427,1.8666,4.8019,6.0738,1.8476,4.8019,6.0738,1.8476,4.8019,6.0738,1.8476,4.8019,5.7398,1.8666,4.8019,5.7457,1.8666,4.8019,5.7281,1.8666,4.8019
