;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,
;,Collection of tables based related to VCHP3 Input Processing,,,,,,,,,,
;,Created:,,05/13/24 SAC,,,,,,,,
;,Last modified:,,02/27/25 SAC - updated 2D interpolation tables based on latest NEEP-statistics spreadsheet (from BigLadder/NK),,,,,,,,
;,,,,,,,,,,,
;,Source Data:,,BigLadder OneDrive - NEEP-Statistical-Model,,,,,,,,
;,,,,,,,,,,,
;,Mod history:,,09/18/24 SAC - updated 2D interpolation tables based on latest NEEP-statistics spreadsheet (from BigLadder/NK),,,,,,,,
;,,,07/24/24 SAC - added 2D interpolation tables,,,,,,,,
;,,,05/13/24 SAC - created tables,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
,TABLE  VCHP3_NEEPRegressions,,,,,,,,,,
,,quantity,slope,intercept,r2,,,,,,
,,EIRr82min,-0.3241,1.3050,0.1266,;,EIR Ratio at 82F Min vs SEER2 over EER2,,,,
,,Qr95min,-0.1195,0.5096,0.0468,;,Capacity Ratio at 95F Min vs SEER2 over EER2,,,,
,,COP47rated,0.0660,2.8368,0.0545,;,COP Rated 47F vs HSPF2,,,,
,,Cap95ratVsEIR82,0.3686,0.0286,0.0000,;,Capacity Ratio at 95F Min vs EIR Ratio at 82F Min,,,,
,,*,0.0000,0.0000,0.0000,;,error,,,,
,ENDTABLE,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
,TABLE  VCHP3_NEEPStatistics,,,,,,,,,,
,,quantity,mean,,,,,,,,
;,,,,,,,,,,,
,TABLE  HtPump3_Interp_2Speed_Low_SEER2EER2ratio_SEER2,,,,,,,,,,
,,2DInterpolate,SEER2Limit,SEER2EER2Ratio,one,two,,,,,
,,SEER2=,-999,-999,6,22,,,,,
,,Min,6,1,1.7772,6.5165,,,,,
,,Max,22,2.4,2.1046,7.7170,,,,,
,ENDTABLE,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,Delta Fracs,Row Interps,Final Result,,,,
;,,testing below table:,SEER2:,19,0.476190476,5.482586251,,,,,
;,,,SEER2/EER2:,1.46154,0.617858099,8.13359912,7.120536023,,,,
,TABLE  HtPump3_Interp_VarSpeed_Low_SEER2EER2ratio_COP,,,,,,,,,,
,,2DInterpolate,SEER2Limit,SEER2EER2Ratio,one,two,three,,,,
,,SEER2=,-999,-999,14,24.5,35,,,,
,,Min,14,1.000,4.047,7.061,10.058,,,,
,,two,-999,1.747,6.175,10.289,14.053,,,,
,,three,-999,2.120,14.240,23.262,30.962,,,,
,,four,-999,2.307,19.508,31.842,42.388,,,,
,,Max,35,2.400,23.029,37.513,49.863,,,,
,ENDTABLE,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
,TABLE  HtPump3_Interp_Single_Full_HeatCapRatio_COP,,,,,,,,,,
,,2DInterpolate,HSPF2Limit,HeatCapRatio,one,two,three,four,five,,
,,HSPF2=,-999,-999,5,6.5,8,9.5,11,,
,,Min,5,0.500,1.971,2.844,3.933,5.327,7.178,,
,,two,-999,0.533,1.963,2.801,3.819,5.085,6.699,,
,,three,-999,0.600,1.946,2.720,3.622,4.683,5.951,,
,,four,-999,0.733,1.915,2.589,3.318,4.111,4.975,,
,,Max,11,1.000,1.904,2.498,3.102,3.718,4.345,,
,ENDTABLE,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
,TABLE  HtPump3_Interp_Two_Full_HeatCapRatio_COP,,,,,,,,,,
,,2DInterpolate,HSPF2Limit,HeatCapRatio,one,two,three,four,five,,
,,HSPF2=,-999,-999,5,6.5,8,9.5,11,,
,,Min,5,0.500,1.794,2.592,3.583,4.852,6.536,,
,,two,-999,0.533,1.779,2.540,3.464,4.611,6.073,,
,,three,-999,0.600,1.757,2.456,3.270,4.227,5.371,,
,,four,-999,0.733,1.720,2.325,2.980,3.691,4.467,,
,,Max,11,1.000,1.659,2.176,2.703,3.239,3.785,,
,ENDTABLE,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
,TABLE  HtPump3_Interp_VarSpeed_Full_HeatCapRatio_COP,,,,,,,,,,
,,2DInterpolate,HSPF2Limit,HeatCapRatio,one,two,three,four,five,,
,,HSPF2=,-999,-999,7,9.25,11.5,13.75,16,,
,,Min,7,0.500,2.762,4.149,5.934,8.392,11.948,,
,,two,-999,0.540,2.696,3.941,5.490,7.463,10.060,,
,,three,-999,0.620,2.579,3.627,4.821,6.190,7.779,,
,,four,-999,0.780,2.467,3.305,4.167,5.054,5.967,,
,,Max,16,1.100,2.345,3.091,3.834,4.573,5.307,,
,ENDTABLE,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
