; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV Interim GHG Adder Only,,,,,,,,,,,,,,,,
; MoDaHr,Propane TDV (CZ1; kBtu/therm),Propane TDV (CZ2; kBtu/therm),Propane TDV (CZ3; kBtu/therm),Propane TDV (CZ4; kBtu/therm),Propane TDV (CZ5; kBtu/therm),Propane TDV (CZ6; kBtu/therm),Propane TDV (CZ7; kBtu/therm),Propane TDV (CZ8; kBtu/therm),Propane TDV (CZ9; kBtu/therm),Propane TDV (CZ10; kBtu/therm),Propane TDV (CZ11; kBtu/therm),Propane TDV (CZ12; kBtu/therm),Propane TDV (CZ13; kBtu/therm),Propane TDV (CZ14; kBtu/therm),Propane TDV (CZ15; kBtu/therm),Propane TDV (CZ16; kBtu/therm)
10302,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10303,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10304,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10305,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10306,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10307,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10308,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10309,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10310,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10311,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10312,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10313,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10314,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
10315,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575,37.92961575
