TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
BaseSys5 CoilHtg-3,BaseSys5 CoilHtg-3,HotWater,BaseAirSys5-3,UNDEFINED,9317.725,9317.725,0.46571,-99996,-99996,,,
BaseSys5 CoilHtg-4,BaseSys5 CoilHtg-4,HotWater,BaseAirSys5-4,UNDEFINED,8730.175,8730.175,0.43634,-99996,-99996,,,
GuestRoom101_FPFC CoilHtg,BaseSys2 CoilHtg,HotWater,BaseZnSys2,UNDEFINED,5432.038,5432.038,0.2715,-99996,-99996,,,
GuestRoom102_FPFC CoilHtg,BaseSys2 CoilHtg-2,HotWater,BaseZnSys2-2,UNDEFINED,5630.788,5630.788,0.28143,-99996,-99996,,,
GuestRoom103_FPFC CoilHtg,BaseSys2 CoilHtg-3,HotWater,BaseZnSys2-3,UNDEFINED,5481.875,5481.875,0.27399,-99996,-99996,,,
GuestRoom104_FPFC CoilHtg,BaseSys2 CoilHtg-4,HotWater,BaseZnSys2-4,UNDEFINED,5466.325,5466.325,0.27321,-99996,-99996,,,
GuestRoom105_FPFC CoilHtg,BaseSys2 CoilHtg-5,HotWater,BaseZnSys2-5,UNDEFINED,5430.5,5430.5,0.27142,-99996,-99996,,,
GuestRoom201_FPFC CoilHtg,BaseSys2 CoilHtg-6,HotWater,BaseZnSys2-6,UNDEFINED,5309.775,5309.775,0.26539,-99996,-99996,,,
GuestRoom202_205_FPFC CoilHtg,BaseSys2 CoilHtg-7,HotWater,BaseZnSys2-7,UNDEFINED,3969.759,3969.759,0.19841,-99996,-99996,,,
GuestRoom206_208_FPFC CoilHtg,BaseSys2 CoilHtg-8,HotWater,BaseZnSys2-8,UNDEFINED,4147.971,4147.971,0.20732,-99996,-99996,,,
