; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd220110012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
PropVentOnlyAirSys SupFan-11,PropVentOnlyAirSys SupFan-11,ConstantVolume,PropVentOnlyAirSys-11,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-12,PropVentOnlyAirSys SupFan-12,ConstantVolume,PropVentOnlyAirSys-12,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-13,PropVentOnlyAirSys SupFan-13,ConstantVolume,PropVentOnlyAirSys-13,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-14,PropVentOnlyAirSys SupFan-14,ConstantVolume,PropVentOnlyAirSys-14,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-15,PropVentOnlyAirSys SupFan-15,ConstantVolume,PropVentOnlyAirSys-15,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-16,PropVentOnlyAirSys SupFan-16,ConstantVolume,PropVentOnlyAirSys-16,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-17,PropVentOnlyAirSys SupFan-17,ConstantVolume,PropVentOnlyAirSys-17,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys SupFan-18,PropVentOnlyAirSys SupFan-18,ConstantVolume,PropVentOnlyAirSys-18,UNDEFINED,31.2,-99996,0.65,PowerPerUnitFlow,1.655,0.013,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan,PropVentOnlyAirSys RetFan,ConstantVolume,PropVentOnlyAirSys,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-2,PropVentOnlyAirSys RetFan-2,ConstantVolume,PropVentOnlyAirSys-2,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
